#cnum	V	H	C	MunH	MunV	L*	a*	b*
141	A	0	0	10.00RP	9.5	96.00	-.06	.06
274	B	0	0	10.00RP	9	91.08	-.05	.06
129	B	1	2	2.50R	9	91.08	5.53	2.22
230	B	2	2	5.00R	9	91.08	5.51	3.28
302	B	3	2	7.50R	9	91.08	5.54	4.46
324	B	4	2	10.00R	9	91.08	5.43	5.64
27	B	5	2	2.50YR	9	91.08	5.21	7.67
290	B	6	2	5.00YR	9	91.08	4.30	10.08
92	B	7	2	7.50YR	9	91.08	3.14	12.37
66	B	8	2	10.00YR	9	91.08	1.28	14.41
83	B	9	4	2.50Y	9	91.08	-.46	29.79
22	B	10	6	5.00Y	9	91.08	-5.25	45.24
242	B	11	6	7.50Y	9	91.08	-9.03	45.94
106	B	12	6	10.00Y	9	91.08	-12.17	45.90
177	B	13	6	2.50GY	9	91.08	-16.65	44.66
260	B	14	4	5.00GY	9	91.08	-14.67	29.61
206	B	15	2	7.50GY	9	91.08	-10.76	13.38
52	B	16	2	10.00GY	9	91.08	-12.29	10.56
199	B	17	2	2.50G	9	91.08	-13.13	7.63
95	B	18	2	5.00G	9	91.08	-13.24	5.48
293	B	19	2	7.50G	9	91.08	-13.22	3.82
219	B	20	2	10.00G	9	91.08	-12.96	2.42
108	B	21	2	2.50BG	9	91.08	-12.69	1.23
330	B	22	2	5.00BG	9	91.08	-11.94	-.27
221	B	23	2	7.50BG	9	91.08	-10.86	-2.13
284	B	24	2	10.00BG	9	91.08	-9.69	-3.22
327	B	25	2	2.50B	9	91.08	-7.96	-4.41
244	B	26	2	5.00B	9	91.08	-6.32	-5.08
294	B	27	2	7.50B	9	91.08	-4.65	-5.34
272	B	28	2	10.00B	9	91.08	-3.48	-5.55
172	B	29	2	2.50PB	9	91.08	-1.49	-5.61
158	B	30	2	5.00PB	9	91.08	-.37	-5.58
120	B	31	2	7.50PB	9	91.08	1.12	-5.38
286	B	32	2	10.00PB	9	91.08	2.19	-4.93
262	B	33	2	2.50P	9	91.08	2.95	-4.85
107	B	34	2	5.00P	9	91.08	3.36	-4.24
241	B	35	2	7.50P	9	91.08	4.31	-2.82
319	B	36	2	10.00P	9	91.08	4.70	-2.00
224	B	37	2	2.50RP	9	91.08	5.04	-1.14
314	B	38	2	5.00RP	9	91.08	5.27	-.10
252	B	39	2	7.50RP	9	91.08	5.41	.74
44	B	40	2	10.00RP	9	91.08	5.44	1.50
16	C	0	0	10.00RP	8	81.35	-.05	.06
217	C	1	6	2.50R	8	81.35	23.67	9.47
201	C	2	6	5.00R	8	81.35	23.18	13.11
84	C	3	6	7.50R	8	81.35	22.67	17.48
56	C	4	6	10.00R	8	81.35	21.06	22.40
237	C	5	6	2.50YR	8	81.35	18.52	26.72
6	C	6	6	5.00YR	8	81.35	14.87	30.96
159	C	7	8	7.50YR	8	81.35	14.98	47.04
174	C	8	14	10.00YR	8	81.35	15.10	90.21
297	C	9	16	2.50Y	8	81.35	7.28	109.12
96	C	10	14	5.00Y	8	81.35	-3.69	100.18
12	C	11	12	7.50Y	8	81.35	-10.94	87.90
128	C	12	12	10.00Y	8	81.35	-17.25	87.99
214	C	13	12	2.50GY	8	81.35	-26.04	85.63
124	C	14	10	5.00GY	8	81.35	-30.49	65.57
306	C	15	10	7.50GY	8	81.35	-40.58	54.46
149	C	16	8	10.00GY	8	81.35	-38.45	34.02
251	C	17	8	2.50G	8	81.35	-42.41	23.78
67	C	18	6	5.00G	8	81.35	-33.80	12.41
229	C	19	6	7.50G	8	81.35	-33.63	8.67
5	C	20	6	10.00G	8	81.35	-33.04	4.96
196	C	21	6	2.50BG	8	81.35	-32.18	1.81
100	C	22	4	5.00BG	8	81.35	-21.19	-1.35
2	C	23	4	7.50BG	8	81.35	-19.64	-4.30
31	C	24	4	10.00BG	8	81.35	-18.27	-7.01
175	C	25	4	2.50B	8	81.35	-16.44	-9.33
74	C	26	4	5.00B	8	81.35	-13.22	-11.59
116	C	27	4	7.50B	8	81.35	-10.44	-12.79
264	C	28	4	10.00B	8	81.35	-6.82	-13.92
189	C	29	6	2.50PB	8	81.35	-5.05	-23.28
303	C	30	6	5.00PB	8	81.35	-.24	-24.03
142	C	31	4	7.50PB	8	81.35	3.22	-14.27
70	C	32	4	10.00PB	8	81.35	5.82	-13.42
139	C	33	4	2.50P	8	81.35	8.19	-12.62
59	C	34	4	5.00P	8	81.35	9.68	-11.26
15	C	35	6	7.50P	8	81.35	18.74	-12.74
78	C	36	6	10.00P	8	81.35	21.03	-9.69
285	C	37	6	2.50RP	8	81.35	22.62	-5.51
190	C	38	6	5.00RP	8	81.35	23.53	-.96
160	C	39	6	7.50RP	8	81.35	23.82	2.52
292	C	40	6	10.00RP	8	81.35	23.74	6.18
300	D	0	0	10.00RP	7	71.60	-.04	.05
63	D	1	8	2.50R	7	71.60	32.18	12.57
151	D	2	8	5.00R	7	71.60	31.70	17.23
35	D	3	10	7.50R	7	71.60	38.22	29.22
278	D	4	10	10.00R	7	71.60	34.96	37.54
318	D	5	10	2.50YR	7	71.60	30.67	44.56
212	D	6	14	5.00YR	7	71.60	32.89	77.02
187	D	7	14	7.50YR	7	71.60	24.12	84.39
110	D	8	14	10.00YR	7	71.60	15.62	90.72
326	D	9	12	2.50Y	7	71.60	6.22	81.95
146	D	10	12	5.00Y	7	71.60	-2.30	85.64
258	D	11	12	7.50Y	7	71.60	-9.51	87.14
193	D	12	12	10.00Y	7	71.60	-15.98	87.62
91	D	13	12	2.50GY	7	71.60	-24.87	85.15
143	D	14	12	5.00GY	7	71.60	-34.49	79.15
33	D	15	10	7.50GY	7	71.60	-40.28	53.23
315	D	16	10	10.00GY	7	71.60	-46.70	41.31
268	D	17	10	2.50G	7	71.60	-51.55	27.69
29	D	18	8	5.00G	7	71.60	-41.95	14.43
161	D	19	8	7.50G	7	71.60	-41.85	9.77
145	D	20	8	10.00G	7	71.60	-41.54	5.41
253	D	21	8	2.50BG	7	71.60	-40.91	1.15
82	D	22	8	5.00BG	7	71.60	-39.21	-4.56
