#LNUM	TNUM	TRAN	WCSC
1	1	lobu	LB
1	2	lofu	LF
1	3	lebe	LE
1	4	fwae	F
1	5	wãwanakoko	WK
1	6	gale	G
1	7	sõo	S
1	8	fuo	FU
1	9	gbanagbana	GB
2	1	aanaparohnaa(ren)	AA
2	2	aweyaranten	AW
2	3	aata	AT
2	4	epanten	EP
2	5	imunanten	IT
2	6	iramunten	IR
2	7	ironten	IO
2	8	kaakaken	KA
2	9	kamaa	KM
2	10	karanten	KR
2	11	kunten	KT
2	12	kunimaara	KU
2	13	maa(h)paraah	MP
2	14	naarareh	NR
2	15	pihtakun	PH
2	16	punemun	PN
2	17	tohkon(ten)	TK
2	18	tunkara	TU
2	19	uhkaran	UN
2	20	witipe	WT
2	21	yaaenaa(ren)	YN
2	22	totuih	TO
2	23	tinaan(ten)	TI
2	24	kaah	KH
2	25	awitih	AI
2	26	yari(h)	YR
2	27	kawaar(ren)	KW
3	1	melatak	EL
3	2	mengitet	NG
3	3	medingat	AT
3	4	dilaw	DA
3	5	medideg	ED
3	6	berde	BA
3	7	asul	AA
3	8	grin	IN
3	9	blu	LU
3	10	yelo	LO
3	11	rosas	RA
3	12	koman i don	ID
3	13	pegay	AY
3	14	abu	BU
3	15	pensél	PA
3	16	dagat	GA
3	17	langit	IT
3	18	apanget	ET
3	19	péga	PG
3	20	patodilaw	AW
3	21	gris	IS
3	22	manta	TA
3	23	ulap	AP
3	24	diget	DI
3	25	kape	KA
3	26	kundiman	AN
3	27	inggon	ON
3	28	medéhéng	MD
3	29	medégdég	MG
3	30	uging	UG
3	31	mepusiyaw	MP
3	32	mealikabuk	ML
3	33	langet	LT
3	34	guhém	GU
3	35	mediklém	MK
3	36	mekélép	ME
3	37	kuném	KN
3	38	hinap	HN
3	39	kayo	KY
3	40	luta	LA
3	41	gatas	AS
3	42	melabut	UT
3	43	orendz	DZ
3	44	kulay	KL
3	45	agél	AZ
3	46	ube	BE
3	47	lumot	OT
3	48	kamoti	TI
3	49	bubug	BB
3	50	bunay	BN
3	51	kokua	UA
3	52	duyaw	DY
3	53	sébaw	SW
3	54	patig	IG
3	55	sikolate	SK
3	56	apog	OG
3	57	melabsaw	MW
3	58	bayolet	BT
3	59	lokban	LB
3	60	sita	SI
3	61	asok	OK
3	62	korol	OL
3	63	maöng	MA
3	64	waʔet	WA
3	65	tamak	TK
3	66	laitla	LL
3	67	putik	PU
3	68	asek	AK
3	69	braun	BR
3	70	sablot	SB
4	1	sak	SA
4	2	k'ek	KE
4	3	ajak	CY
4	4	k'an	KA
4	5	txa'x	TA
4	6	txib	TX
4	7	wuro's	WR
4	8	xew	XE
4	9	xk'inco'j	XK
4	10	ẍeẍ	XX
4	11	haranch	LA
4	12	spielpuj	SP
4	13	sak way	SW
4	14	xtantuj	XT
4	15	muj	MU
4	16	tint wutz	TW
4	17	ch'el	CH
4	18	xk'ay kuj	XY
4	19	tza'j	TZ
4	20	celeste	CE
4	21	chamic	CA
4	22	capej	CP
4	23	tejsip	SI
4	24	tu'bx pale'	TU
5	1	ayyagda	6
5	2	burada	2
5	3	huabedda	4
5	4	jeida	5
5	5	keregda	9
5	6	kihueyda	7
5	7	paroda	8
5	8	sikda	1
5	9	yereda	3
6	1	halojo	HA
6	2	sikwo'mno	SI
6	3	yamo'nohino	YA
6	4	sajo	SA
6	5	moiho	MO
6	6	honijwo	HN
6	7	honwo'nohino	HO
6	8	sontijo	SN
6	9	hwatnjo	HT
6	10	hwajingo	HJ
6	11	hwosimijo	HS
6	12	hwofeejo	HF
6	13	mi'miyo	MM
6	14	hafihwaho	HH
6	15	sokojae	SK
6	16	iyoswopaho'nji	IY
6	17	wonipa'nyo	WO
6	18	hwomango'nohino	HM
6	19	humamopa'nyo	HU
6	20	ijimtofaho	IJ
6	21	jikufopa'nyo	JI
6	22	itimtofaho	IT
6	23	kwotehweho	KW
6	24	pountalo	PO
6	25	ahwompaho	AH
6	26	sihwamijo-muhwahopa'njo	SM
6	27	halokwaho pa'nyo	HP
6	28	iyo hwaho pa'nyo	IH
6	29	ijimo'nohino	IN
6	30	hwaho usi fopan'yo	UF
6	31	kwofolo-kwahopa'nyo	KH
6	32	hajuyo/hajuyo pa'nyo	JY
6	33	hwaho	WA
6	34	silifijo	SL
6	35	ahojo	AO
6	36	hesiyamo	HE
6	37	itimomo'nohino	IO
6	38	honwo	HW
6	39	miyo	MI
6	40	hwajingo'nohino	WJ
6	41	itimno hwospopa'nyo	II
6	42	hwaho'nohino	ON
6	43	wame'nohino	WM
7	1	'ndaa	NA
7	2	cachuii'24-3	C
7	3	cajan23	J
7	4	cajue32-4	JU
7	5	calu23	L
7	6	canchii'44-3	N
7	7	canioom23	NI
7	8	catsioo'23	TS
7	9	china24	CH
7	10	chjoo	CJ
7	11	ljaa'tmaan22	LJ
7	12	ncue	NC
7	13	ncuee	NC
7	14	ndya'	ND
7	15	ntom3	NT
7	16	t'ui4	TU
7	17	ts'o4	TO
7	18	tsa3	TA
7	19	tsco-tasa-'ndaa3432	TC
7	20	tsjan'chi24	T
7	21	tsjo'2	TJ
7	22	tua'	T1
7	23	tuaa'2-4	T1
7	24	wee3	WE
7	25	wii3	W
7	26	xcaa	XC
7	27	xuee2	X
7	28	ya	Y
7	29	tsjo'luee	TL
7	30	cajan-ndya'	CN
8	1	amatenihante	AM
8	2	amatenishante	AM
8	3	asihinaahoe	AE
8	4	asihintihante	AH
8	5	asisorihante	A
8	6	ikirihante	I
8	7	ikirotihante	I
8	8	isaumwawahante	IS
8	9	kiputipihante	KI
8	10	kwanyapisitipate	K
8	11	kwataihante	KT
8	12	kwihepihante	KW
8	13	kwihepishante	KW
8	14	namonsitihante	NA
8	15	nausaatihante	NU
8	16	nsitipitihante	NS
8	17	nyanyipihante	N
8	18	nyanyipisihante	N
8	19	tawaasatihante	T
8	20	wahaipate	W
9	1	kamrẽk	ER
9	2	ràràr	RA
9	3	grãgrã	GR
9	4	aka	AA
9	5	tyk	TS
9	6	kakrã tyk	FA
9	7	kukũm	BA
9	8	kambro	KM
9	9	kumrantye	KR
9	10	kuitare	KT
9	11	tyrde	TY
9	12	kakkukum	KA
10	1	mueruuca	MU
10	2	cohuaja	CO
10	3	naatuca	NA
10	4	pocojonaque	PO
10	5	nentuca	NN
10	6	neeruuca	NE
10	7	pareeca	PA
10	8	tiquiriiquia	TI
10	9	riyatuuca	RI
10	10	moquitiuriuuca	MO
10	11	maquenuutuca	MA
10	12	shaaruca	SH
10	13	tiiriuca	TR
10	14	maquesaca	MQ
10	15	noshiquia	NO
10	16	cashiiquia	CA
10	17	quitiaaca	QU
10	18	coriuu	CR
11	1	bieyal	E
11	2	gai	A
11	3	ginal	G
11	4	gwedi	W
11	5	igili	I
11	6	kel	K
11	7	mahiyo	H
11	8	mili	M
11	9	nel	N
11	10	tebgel	T
12	1	gahana	G
