LNUM	SNUM	FNUM	WCSC	COLOR
1	1	1	LF	A0
1	1	2	WK	D9
1	1	2	WK	D10
1	1	2	WK	D11
1	1	2	WK	D12
1	1	3	F	D25
1	1	4	LB	J0
1	1	5	G	F17
1	1	6	LE	F1
1	1	6	LE	F2
1	1	6	LE	F3
1	1	6	LE	G1
1	1	6	LE	G2
1	1	6	LE	G3
1	2	1	LF	A0
1	2	2	S	C1
1	2	2	S	C2
1	2	2	S	C3
1	2	2	S	C4
1	2	2	S	C5
1	2	3	WK	E1
1	2	4	LE	G1
1	2	4	LE	G2
1	2	5	LB	J0
1	2	6	G	I29
1	2	6	G	I30
1	3	1	LF	A0
1	3	2	LE	F1
1	3	2	LE	F2
1	3	2	LE	F3
1	3	3	WK	E3
1	3	4	S	D12
1	3	4	S	I5
1	3	5	F	B20
1	3	5	F	B21
1	3	5	F	B22
1	3	5	F	B23
1	3	6	LB	J0
1	4	1	LF	A0
1	4	2	F	B5
1	4	3	WK	E5
1	4	4	LE	G2
1	4	5	LB	J0
1	5	1	LF	A20
1	5	2	WK	C10
1	5	3	F	C13
1	5	4	GB	D13
1	5	5	LE	G2
1	5	6	LB	G27
1	6	1	LF	A0
1	6	2	WK	D2
1	6	2	WK	D3
1	6	2	WK	D4
1	6	2	WK	D5
1	6	3	LE	G1
1	6	3	LE	G2
1	6	4	LB	J0
1	6	5	G	F27
1	6	5	G	F28
1	6	6	F	C37
1	6	6	F	C38
1	6	6	F	C39
1	7	1	LF	A0
1	7	2	F	C11
1	7	3	WK	B12
1	7	4	G	F29
1	7	5	LB	J0
1	7	6	S	H17
1	7	7	LE	I1
1	8	1	LF	A0
1	8	2	S	E4
1	8	3	WK	E2
1	8	4	F	B12
1	8	5	G	F26
1	8	6	LB	J0
1	8	7	LE	G2
1	9	1	LF	A0
1	9	2	S	C10
1	9	3	WK	C11
1	9	4	F	C35
1	9	5	LE	F1
1	9	5	LE	F2
1	9	5	LE	F3
1	9	5	LE	F4
1	9	6	LB	J0
1	9	7	G	H28
1	10	1	LF	A0
1	10	2	F	D31
1	10	2	F	D32
1	10	2	F	D33
1	10	3	WK	D38
1	10	4	G	G30
1	10	5	LB	J0
1	10	6	LE	G1
1	11	1	LF	A0
1	11	2	WK	C1
1	11	2	WK	C2
1	11	2	WK	C3
1	11	2	WK	C4
1	11	2	WK	C5
1	11	3	F	B1
1	11	3	F	B2
1	11	3	F	B3
1	11	3	F	B4
1	11	3	F	B5
1	11	3	F	B6
1	11	3	F	B7
1	11	4	FU	C25
1	11	4	FU	C26
1	11	4	FU	C27
1	11	4	FU	C28
1	11	5	S	E33
1	11	5	S	E34
1	11	5	S	E35
1	11	6	G	G27
1	11	6	G	G28
1	11	6	G	G29
1	11	7	LB	J0
1	11	8	LE	G1
1	12	1	LF	A0
1	12	2	S	D4
1	12	2	S	D5
1	12	2	S	D6
1	12	2	S	D7
1	12	2	S	D8
1	12	2	S	D9
1	12	3	F	C1
1	12	3	F	C2
1	12	3	F	C3
1	12	4	LE	F1
1	12	4	LE	F2
1	12	4	LE	F3
1	12	5	LB	J0
1	12	6	G	F30
1	13	1	LF	A0
1	13	2	WK	D6
1	13	2	WK	D7
1	13	3	S	E23
1	13	4	F	C28
1	13	4	F	C29
1	13	4	F	C30
1	13	5	FU	D28
1	13	5	FU	D29
1	13	5	FU	D30
1	13	6	G	G30
1	13	7	LB	J19
1	13	8	LE	G2
1	13	8	LE	G3
1	14	1	LF	A0
1	14	2	WK	C4
1	14	2	WK	C5
1	14	2	WK	C6
1	14	3	F	B7
1	14	3	F	B8
1	14	3	F	B9
1	14	4	LE	G1
1	14	4	LE	G2
1	14	4	LE	G3
1	14	5	G	F30
1	14	5	G	F31
1	14	5	G	G30
1	14	5	G	G31
1	14	6	FU	B35
1	14	6	FU	B36
1	14	6	FU	B37
1	14	6	FU	B38
1	14	6	FU	B39
1	14	6	FU	B40
1	14	7	S	D36
1	14	7	S	D37
1	14	7	S	D38
1	14	7	S	D39
1	14	7	S	D40
1	14	8	LB	J0
1	15	1	LF	A0
1	15	2	LB	J0
1	15	3	F	C1
1	15	3	F	C2
1	15	3	F	C3
1	15	3	F	C4
1	15	3	F	C5
1	15	3	F	C35
1	15	3	F	C36
1	15	3	F	C37
1	15	3	F	C38
1	15	3	F	C39
1	15	3	F	C40
1	15	4	WK	E38
1	15	4	WK	E39
1	15	4	WK	E40
1	15	5	G	F32
1	15	6	LE	G1
1	16	1	LF	A0
1	16	2	WK	B16
1	16	3	F	C20
1	16	4	G	E18
1	16	5	S	C27
1	16	6	LB	G31
1	16	7	LE	F1
1	17	1	LF	A0
1	17	2	WK	D8
1	17	3	F	D12
1	17	3	F	E12
1	17	4	LE	F1
1	17	4	LE	F2
1	17	4	LE	G1
1	17	4	LE	G2
1	17	5	LB	J0
1	17	6	G	F28
1	18	1	LF	A0
1	18	2	F	C4
1	18	3	WK	D5
1	18	4	S	D25
1	18	5	LE	F2
1	18	5	LE	F3
1	18	6	LB	J0
1	19	1	LF	A0
1	19	2	WK	F6
1	19	3	F	B9
1	19	3	F	B10
1	19	3	F	B11
1	19	4	G	G29
1	19	5	LE	F1
1	19	6	LB	J0
1	19	7	S	H1
1	20	1	LE	F3
1	20	2	F	E14
1	20	3	LF	A23
1	20	4	LB	J24
1	20	5	WK	F35
1	21	1	LF	A0
1	21	2	F	B3
1	21	2	F	B4
1	21	2	F	B5
1	21	3	WK	F7
1	21	3	WK	F8
1	21	4	S	E9
1	21	4	S	E10
1	21	5	LE	G1
1	21	5	LE	G2
1	21	5	LE	G3
1	21	6	LB	J0
1	21	7	G	G29
1	22	1	LF	A0
1	22	2	WK	E1
1	22	3	LE	G1
1	22	4	LB	J0
1	22	5	F	B20
1	22	6	S	C22
1	22	7	G	G30
1	23	1	F	B1
1	23	1	F	B2
1	23	1	F	B3
1	23	1	F	B4
1	23	2	WK	C1
1	23	3	G	F30
1	23	4	LE	F1
1	23	5	S	F0
1	23	6	LB	J0
1	24	1	LF	A0
1	24	1	LF	B0
1	24	2	WK	C6
1	24	2	WK	C7
1	24	3	F	B10
1	24	3	F	B11
1	24	4	LB	J0
1	24	5	G	H30
1	24	6	S	H33
1	24	6	S	H34
1	24	7	LE	G1
1	24	7	LE	G2
1	25	1	LF	A0
1	25	2	WK	C3
1	25	2	WK	C4
1	25	3	F	B5
1	25	3	F	B6
1	25	4	LB	J0
1	25	5	G	F29
1	25	5	G	F30
1	25	6	LE	G3
2	1	1	AA	B12
2	1	2	EP	A0
2	1	2	EP	A1
2	1	2	EP	A2
2	1	2	EP	A3
2	1	2	EP	A4
2	1	2	EP	A5
2	1	2	EP	A6
2	1	2	EP	A7
2	1	2	EP	A8
2	1	2	EP	A9
2	1	2	EP	A10
2	1	2	EP	A11
2	1	2	EP	A12
2	1	2	EP	A13
2	1	2	EP	A14
2	1	2	EP	A15
2	1	2	EP	A16
2	1	2	EP	A17
2	1	2	EP	A18
2	1	2	EP	A19
2	1	2	EP	A20
2	1	2	EP	A21
2	1	2	EP	A22
2	1	2	EP	A23
2	1	2	EP	A24
2	1	2	EP	A25
2	1	2	EP	A26
2	1	2	EP	A27
2	1	2	EP	A28
2	1	2	EP	A29
2	1	2	EP	A30
2	1	2	EP	A31
2	1	2	EP	A32
2	1	2	EP	A33
2	1	2	EP	A34
2	1	2	EP	A35
2	1	2	EP	A36
2	1	2	EP	A37
2	1	2	EP	A38
2	1	2	EP	A39
2	1	2	EP	A40
2	1	3	IT	F28
2	1	4	NR	F39
2	1	5	TK	J0
2	1	5	TK	J1
