#cnum,V,H,C,MunH,MunV,L*,a*,b*,name
1,E,29,10,2.50PB,6.0,61.7,-4.52,-39.18,1
2,C,23,4,7.50BG,8.0,81.35,-19.64,-4.3,2
3,F,4,16,10.00R,5.0,51.57,55.2,68.32,3
4,I,36,6,10.00P,2.0,20.54,24.14,-14.33,4
5,C,20,6,10.00G,8.0,81.35,-33.04,4.96,5
6,C,6,6,5.00YR,8.0,81.35,14.87,30.96,6
7,E,15,12,7.50GY,6.0,61.7,-46.97,64.65,7
8,H,40,10,10.00RP,3.0,30.77,47.63,5.24,8
9,G,6,8,5.00YR,4.0,41.22,22.15,41.13,9
10,I,30,8,5.00PB,2.0,20.54,7.63,-35.92,10
11,I,22,4,5.00BG,2.0,20.54,-16.13,-4.67,11
12,C,11,12,7.50Y,8.0,81.35,-10.94,87.9,12
13,I,18,6,5.00G,2.0,20.54,-27.79,7.33,13
14,I,26,4,5.00B,2.0,20.54,-9.52,-13.99,14
15,C,35,6,7.50P,8.0,81.35,18.74,-12.74,15
16,C,0,0,10.00RP,8.0,81.35,-0.05,0.06,16
17,E,3,12,7.50R,6.0,61.7,46.38,35.47,17
18,I,11,2,7.50Y,2.0,20.54,-1.74,11.57,18
19,E,27,8,7.50B,6.0,61.7,-16.81,-28.31,19
20,F,16,12,10.00GY,5.0,51.57,-56.86,49.22,20
21,E,39,12,7.50RP,6.0,61.7,49.38,2.78,21
22,B,10,6,5.00Y,9.0,91.08,-5.25,45.24,22
23,F,34,10,5.00P,5.0,51.57,31.24,-29.94,23
24,H,10,4,5.00Y,3.0,30.77,-0.15,26.58,24
25,G,24,6,10.00BG,4.0,41.22,-24.01,-14.24,25
26,H,30,10,5.00PB,3.0,30.77,7.86,-43.39,26
27,B,5,2,2.50YR,9.0,91.08,5.21,7.67,27
28,E,38,10,5.00RP,6.0,61.7,40.07,-3.44,28
29,D,18,8,5.00G,7.0,71.6,-41.95,14.43,29
30,F,6,12,5.00YR,5.0,51.57,29.45,64.44,30
31,C,24,4,10.00BG,8.0,81.35,-18.27,-7.01,31
