,name,type,complexity,informativity,comm_cost
0,Abidji,natural,1.791759469228055,-1554.2069483982423,4.813013866365054
1,Agarabi,natural,2.1972245773362196,-1554.2069483982414,4.813013866364145
2,Casiguran Agta,natural,1.3862943611198906,-1554.2069483982432,4.813013866365964
3,Aguacateco,natural,2.302585092994046,-1554.2069483982423,4.813013866365054
4,Amarakaeri,natural,1.3862943611198906,-1554.2069483982432,4.813013866365964
5,Ampeeli,natural,2.1972245773362196,-1554.2069483982414,4.813013866364145
6,Angaatiha,natural,1.791759469228055,-1554.2069483982423,4.813013866365054
7,Apinaye,natural,1.6094379124341003,-1554.2069483982423,4.813013866365054
8,Arabela,natural,2.6390573296152584,-1554.2069483982432,4.813013866365964
9,Bahinemo,natural,1.6094379124341003,-1554.2069483982423,4.813013866365054
10,Bauzi,natural,1.0986122886681098,-1554.206948398242,4.813013866364827
11,Berik,natural,1.791759469228055,-1554.2069483982423,4.813013866365054
12,Bete,natural,0.6931471805599453,-1554.2069483982434,4.813013866366191
13,Bhili,natural,1.9459101490553132,-1554.2069483982423,4.813013866365054
14,Buglere,natural,1.3862943611198906,-1554.2069483982432,4.813013866365964
15,Cakchiquel,natural,2.4849066497880004,-1554.2069483982425,4.8130138663652815
16,Ucayali Campa,natural,2.1972245773362196,-1554.2069483982414,4.813013866364145
17,Cavinena,natural,1.3862943611198906,-1554.2069483982432,4.813013866365964
18,Cayapa,natural,1.6094379124341003,-1554.2069483982423,4.813013866365054
19,Chacobo,natural,1.0986122886681098,-1554.206948398242,4.813013866364827
20,Chavacano,natural,2.302585092994046,-1554.2069483982423,4.813013866365054
21,Chinanteco,natural,1.791759469228055,-1554.2069483982423,4.813013866365054
22,Chumburu,natural,1.9459101490553132,-1554.2069483982423,4.813013866365054
23,Cofan,natural,1.6094379124341003,-1554.2069483982423,4.813013866365054
24,Colorado,natural,1.3862943611198906,-1554.2069483982432,4.813013866365964
25,Culina,natural,2.0794415416798357,-1554.2069483982432,4.813013866365964
26,Didinga,natural,0.0,-1554.206948398243,4.813013866365736
27,Djuka,natural,2.0794415416798357,-1554.2069483982432,4.813013866365964
28,Dyimini,natural,1.9459101490553132,-1554.2069483982423,4.813013866365054
29,Ejagam,natural,0.0,-1554.206948398243,4.813013866365736
30,Ese Ejja,natural,1.3862943611198906,-1554.2069483982432,4.813013866365964
31,Guahibo,natural,2.1972245773362196,-1554.2069483982414,4.813013866364145
32,Guambiano,natural,1.791759469228055,-1554.2069483982423,4.813013866365054
33,Guarijio,natural,1.791759469228055,-1554.2069483982423,4.813013866365054
34,Ngbere,natural,2.1972245773362196,-1554.2069483982414,4.813013866364145
35,Gunu,natural,1.9459101490553132,-1554.2069483982423,4.813013866365054
36,Halbi,natural,1.6094379124341003,-1554.2069483982423,4.813013866365054
37,Huasteco,natural,1.9459101490553132,-1554.2069483982423,4.813013866365054
38,Huave,natural,2.0794415416798357,-1554.2069483982432,4.813013866365964
39,Iduna,natural,1.3862943611198906,-1554.2069483982432,4.813013866365964
40,Sepik Iwam,natural,1.6094379124341003,-1554.2069483982423,4.813013866365054
41,Jicaque,natural,1.3862943611198906,-1554.2069483982432,4.813013866365964
42,Kalam,natural,2.5649493574615367,-1554.2069483982432,4.813013866365964
43,Kamano-Kafe,natural,2.4849066497880004,-1554.2069483982425,4.8130138663652815
44,Karaja,natural,1.0986122886681098,-1554.206948398242,4.813013866364827
45,Kemtuik,natural,1.791759469228055,-1554.2069483982423,4.813013866365054
46,Kokoni,natural,2.0794415416798357,-1554.2069483982432,4.813013866365964
47,Konkomba,natural,1.791759469228055,-1554.2069483982423,4.813013866365054
48,Kriol,natural,2.1972245773362196,-1554.2069483982414,4.813013866364145
49,Kuku-Yalanji,natural,1.6094379124341003,-1554.2069483982423,4.813013866365054
50,Long-haired Kuna,natural,2.3978952727983707,-1554.2069483982432,4.813013866365964
51,Kwerba,natural,1.3862943611198906,-1554.2069483982432,4.813013866365964
52,Lele,natural,1.0986122886681098,-1554.206948398242,4.813013866364827
53,Mampruli,natural,1.791759469228055,-1554.2069483982423,4.813013866365054
54,Maring,natural,2.0794415416798357,-1554.2069483982432,4.813013866365964
55,Martu Wangka,natural,2.1972245773362196,-1554.2069483982414,4.813013866364145
56,Mawchi,natural,1.791759469228055,-1554.2069483982423,4.813013866365054
57,Mayoruna,natural,1.9459101490553132,-1554.2069483982423,4.813013866365054
58,Mazahua,natural,2.6390573296152584,-1554.2069483982432,4.813013866365964
59,Mazateco,natural,2.1972245773362196,-1554.2069483982414,4.813013866364145
60,Menye,natural,1.9459101490553132,-1554.2069483982423,4.813013866365054
61,Mikasuki,natural,2.0794415416798357,-1554.2069483982432,4.813013866365964
62,Mixteco,natural,2.3978952727983707,-1554.2069483982432,4.813013866365964
63,Mundu,natural,0.6931471805599453,-1554.2069483982434,4.813013866366191
64,Mura Piraha,natural,0.6931471805599453,-1554.2069483982434,4.813013866366191
65,Murle,natural,1.6094379124341003,-1554.2069483982423,4.813013866365054
66,Murinbata,natural,1.9459101490553132,-1554.2069483982423,4.813013866365054
67,Nafaanra,natural,0.6931471805599453,-1554.2069483982434,4.813013866366191
68,Ocaina,natural,1.791759469228055,-1554.2069483982423,4.813013866365054
69,Patep,natural,1.3862943611198906,-1554.2069483982432,4.813013866365964
70,Paya,natural,1.3862943611198906,-1554.2069483982432,4.813013866365964
71,Podopa,natural,1.6094379124341003,-1554.2069483982423,4.813013866365054
72,Saramaccan,natural,2.5649493574615367,-1554.2069483982432,4.813013866365964
73,Seri,natural,1.791759469228055,-1554.2069483982423,4.813013866365054
74,Shipibo,natural,2.0794415416798357,-1554.2069483982432,4.813013866365964
75,Siriono,natural,1.791759469228055,-1554.2069483982423,4.813013866365054
76,Sursurunga,natural,1.9459101490553132,-1554.2069483982423,4.813013866365054
77,Tabla,natural,1.791759469228055,-1554.2069483982423,4.813013866365054
78,Tboli,natural,1.6094379124341003,-1554.2069483982423,4.813013866365054
79,Teribe,natural,2.1972245773362196,-1554.2069483982414,4.813013866364145
80,Ticuna,natural,1.6094379124341003,-1554.2069483982423,4.813013866365054
81,Tifal,natural,1.791759469228055,-1554.2069483982423,4.813013866365054
82,Tlapaneco,natural,2.0794415416798357,-1554.2069483982432,4.813013866365964
83,Tucano,natural,1.3862943611198906,-1554.2069483982432,4.813013866365964
84,Vagla,natural,1.3862943611198906,-1554.2069483982432,4.813013866365964
85,Vasavi,natural,1.791759469228055,-1554.2069483982423,4.813013866365054
86,Waorani,natural,1.3862943611198906,-1554.2069483982432,4.813013866365964
87,Walpiri,natural,2.1972245773362196,-1554.2069483982414,4.813013866364145
88,Wobe,natural,0.0,-1554.206948398243,4.813013866365736
89,Yacouba,natural,0.0,-1554.206948398243,4.813013866365736
90,Yakan,natural,2.1972245773362196,-1554.2069483982414,4.813013866364145
91,Yaminahua,natural,1.791759469228055,-1554.2069483982423,4.813013866365054
92,Yucuna,natural,1.3862943611198906,-1554.2069483982432,4.813013866365964
93,Yupik,natural,1.791759469228055,-1554.2069483982423,4.813013866365054
94,Zapoteco,natural,1.791759469228055,-1554.2069483982423,4.813013866365054
95,artificial lang 1,artificial,1.9459101490553132,-1554.2069483982423,4.813013866365054
96,artificial lang 2,artificial,0.0,-1554.206948398243,4.813013866365736
97,artificial lang 3,artificial,2.3978952727983707,-1554.2069483982432,4.813013866365964
98,artificial lang 4,artificial,1.0986122886681098,-1554.206948398242,4.813013866364827
99,artificial lang 5,artificial,1.791759469228055,-1554.2069483982423,4.813013866365054
100,artificial lang 6,artificial,2.3978952727983707,-1554.2069483982432,4.813013866365964
101,artificial lang 7,artificial,0.0,-1554.206948398243,4.813013866365736
102,artificial lang 8,artificial,2.1972245773362196,-1554.2069483982414,4.813013866364145
103,artificial lang 9,artificial,0.6931471805599453,-1554.2069483982434,4.813013866366191
104,artificial lang 10,artificial,2.1972245773362196,-1554.2069483982414,4.813013866364145
105,artificial lang 11,artificial,2.302585092994046,-1554.2069483982423,4.813013866365054
106,artificial lang 12,artificial,2.6390573296152584,-1554.2069483982432,4.813013866365964
107,artificial lang 13,artificial,1.3862943611198906,-1554.2069483982432,4.813013866365964
108,artificial lang 14,artificial,2.302585092994046,-1554.2069483982423,4.813013866365054
109,artificial lang 15,artificial,1.0986122886681098,-1554.206948398242,4.813013866364827
110,artificial lang 16,artificial,1.9459101490553132,-1554.2069483982423,4.813013866365054
111,artificial lang 17,artificial,2.6390573296152584,-1554.2069483982432,4.813013866365964
112,artificial lang 18,artificial,1.9459101490553132,-1554.2069483982423,4.813013866365054
113,artificial lang 19,artificial,1.791759469228055,-1554.2069483982423,4.813013866365054
114,artificial lang 20,artificial,2.70805020110221,-1554.2069483982427,4.813013866365509
