name,comm_cost,complexity,type,commutative
explored-0,0.33083094441790095,22,explored,False
explored-1,0.44217573519223397,29,explored,False
explored-2,0.34405588680314225,32,explored,False
explored-3,0.4852227110862828,33,explored,False
explored-4,0.4785295230827167,45,explored,False
explored-5,0.4792966888079093,26,explored,False
explored-6,0.4905420666290232,32,explored,False
explored-7,0.45908844311597496,38,explored,False
explored-8,0.3739894571187026,35,explored,False
explored-9,0.5825794523601258,25,explored,False
explored-10,0.4541681197882499,34,explored,False
explored-11,0.4299689440993788,28,explored,False
explored-12,0.5610052604752038,37,explored,False
explored-13,0.4155127968830634,43,explored,False
explored-14,0.26578638134702204,22,explored,False
explored-15,0.4149970536614178,36,explored,False
explored-16,0.4576624040976667,30,explored,False
explored-17,0.47709401583404,35,explored,False
explored-18,0.3129397977956767,37,explored,False
explored-19,0.5389447782870236,28,explored,False
explored-20,0.4327000699246779,40,explored,False
explored-21,0.4180908335660227,27,explored,False
explored-22,0.3991384623832348,27,explored,False
explored-23,0.4667225725150349,27,explored,False
explored-24,0.44778731469976285,26,explored,False
explored-25,0.5128107224583197,29,explored,False
explored-26,0.5389447782870236,31,explored,False
explored-27,0.5299421223505435,33,explored,False
explored-28,0.4164422155026182,18,explored,False
explored-29,0.4108778625954199,23,explored,False
explored-30,0.33333333333333326,12,explored,False
explored-31,0.41176034925591765,41,explored,False
explored-32,0.3278868073783755,27,explored,False
explored-33,0.26727193085074386,25,explored,False
explored-34,0.467362072350028,42,explored,False
explored-35,0.4893892371616586,30,explored,False
explored-36,0.376895998343428,28,explored,False
explored-37,0.5040120378009583,28,explored,False
explored-38,0.36875,23,explored,False
explored-39,0.3988728470111449,31,explored,False
explored-40,0.37835113153194067,25,explored,False
explored-41,0.6131912442396313,20,explored,False
explored-42,0.37215147989267616,24,explored,False
explored-43,0.4979976104976105,47,explored,False
explored-44,0.4187775353694636,30,explored,False
explored-45,0.4124825051247615,20,explored,False
explored-46,0.3948433314906621,39,explored,False
explored-47,0.27529761904761907,37,explored,False
explored-48,0.23392857142857137,22,explored,False
explored-49,0.3782292202397436,19,explored,False
explored-50,0.5946420150680689,27,explored,False
explored-51,0.36836125606905257,43,explored,False
explored-52,0.3850067803682262,29,explored,False
explored-53,0.3420697884112204,37,explored,False
explored-54,0.45322438951757005,29,explored,False
explored-55,0.4682826276561779,24,explored,False
explored-56,0.4269353634496835,37,explored,False
explored-57,0.3583486443369963,27,explored,False
explored-58,0.42500000000000004,27,explored,False
explored-59,0.5432332415724911,18,explored,False
explored-60,0.3230859271978054,34,explored,False
explored-61,0.41555061634724644,41,explored,False
explored-62,0.40205608265964266,38,explored,False
explored-63,0.444062300709007,21,explored,False
explored-64,0.40925600806443596,25,explored,False
explored-65,0.416923118137288,19,explored,False
explored-66,0.4583892391817015,28,explored,False
explored-67,0.45615560710155645,33,explored,False
explored-68,0.4068015443317934,29,explored,False
explored-69,0.452345110047228,43,explored,False
explored-70,0.4458333333333333,21,explored,False
explored-71,0.348817261734955,44,explored,False
explored-72,0.4184337525592279,23,explored,False
explored-73,0.529712904218598,23,explored,False
explored-74,0.4571428571428571,11,explored,False
explored-75,0.3137210661769001,34,explored,False
explored-76,0.4068015443317934,32,explored,False
explored-77,0.454876390997775,39,explored,False
explored-78,0.45231308314944185,38,explored,False
explored-79,0.3666666666666667,33,explored,False
explored-80,0.4464590884118299,28,explored,False
explored-81,0.4057746149866899,40,explored,False
explored-82,0.36011538001677557,34,explored,False
explored-83,0.5018636449051956,20,explored,False
explored-84,0.48271338073379644,47,explored,False
explored-85,0.3869849941271146,27,explored,False
explored-86,0.4053195710559294,35,explored,False
explored-87,0.4643036225548349,30,explored,False
explored-88,0.44978391655652583,35,explored,False
explored-89,0.3657135950497371,36,explored,False
explored-90,0.4985691130852421,33,explored,False
explored-91,0.5065062111801242,27,explored,False
explored-92,0.46976948594012113,35,explored,False
explored-93,0.3803289725769853,47,explored,False
explored-94,0.2936507936507937,28,explored,False
explored-95,0.4095634773384318,26,explored,False
explored-96,0.4126984126984127,10,explored,False
explored-97,0.42545191899164414,29,explored,False
explored-98,0.35158481791325547,43,explored,False
explored-99,0.44939423223710606,36,explored,False
explored-100,0.2997223751432935,22,explored,False
explored-101,0.4197886460548199,43,explored,False
explored-102,0.4513055895809386,14,explored,False
explored-103,0.40253268470659775,31,explored,False
explored-104,0.5125,15,explored,False
explored-105,0.40749238272877875,27,explored,False
explored-106,0.35949335046829056,48,explored,False
explored-107,0.41495590984890596,30,explored,False
explored-108,0.44302454696087246,35,explored,False
explored-109,0.3822855801822649,43,explored,False
explored-110,0.31646825396825395,31,explored,False
explored-111,0.40253268470659775,30,explored,False
explored-112,0.4812346573988743,42,explored,False
explored-113,0.5271995950980919,32,explored,False
explored-114,0.2805882352941176,24,explored,False
explored-115,0.32781100478468894,21,explored,False
explored-116,0.43465133654685295,36,explored,False
explored-117,0.526598835946662,31,explored,False
explored-118,0.5163372401850062,31,explored,False
explored-119,0.3753356206916578,15,explored,False
explored-120,0.569790514803897,23,explored,False
explored-121,0.5483719921847736,35,explored,False
explored-122,0.35644841269841265,18,explored,False
explored-123,0.5321428571428571,22,explored,False
explored-124,0.34927585620423685,33,explored,False
explored-125,0.08333333333333337,17,explored,False
explored-126,0.5281655145835511,23,explored,False
explored-127,0.5011825947073639,24,explored,False
explored-128,0.5242461190267925,21,explored,False
explored-129,0.4154845953646553,25,explored,False
explored-130,0.33891948990272913,29,explored,False
explored-131,0.38852325211020855,30,explored,False
explored-132,0.4945565465677617,30,explored,False
explored-133,0.4335627232903885,27,explored,False
explored-134,0.40520935003693626,32,explored,False
explored-135,0.4960714285714285,33,explored,False
explored-136,0.502586288391915,18,explored,False
explored-137,0.3931782771135396,30,explored,False
explored-138,0.5410580696207254,36,explored,False
explored-139,0.36908693050208874,36,explored,False
explored-140,0.44467730181942233,43,explored,False
explored-141,0.4811887513930695,33,explored,False
explored-142,0.3497095442591298,23,explored,False
explored-143,0.46440837795297063,35,explored,False
explored-144,0.4157657173242437,31,explored,False
