name,comm_cost,complexity,type
explored-0,0.5758680555555556,17,explored
explored-1,0.3640625000000002,12,explored
explored-2,0.255729166666667,11,explored
explored-3,0.15787037037037055,19,explored
explored-4,0.7662500000000001,4,explored
explored-5,0.6618923611111112,12,explored
explored-6,0.40298032407407414,18,explored
explored-7,0.38791956018518536,21,explored
explored-8,0.49921875000000016,11,explored
explored-9,0.6885590277777779,11,explored
explored-10,0.6198784722222224,6,explored
explored-11,0.6500868055555558,15,explored
explored-12,0.7390400132275132,35,explored
explored-13,0.6882939814814816,11,explored
explored-14,0.47097222222222235,22,explored
explored-15,0.34921875000000036,17,explored
explored-16,0.4916666666666668,7,explored
explored-17,0.5571180555555557,13,explored
explored-18,0.5817708333333335,9,explored
explored-19,0.5456944444444447,14,explored
explored-20,0.510590277777778,15,explored
explored-21,0.6381944444444445,8,explored
explored-22,0.7733796296296298,9,explored
explored-23,0.6638020833333335,9,explored
explored-24,0.6049479166666668,16,explored
explored-25,0.663888888888889,7,explored
explored-26,0.4208333333333336,8,explored
explored-27,0.5395833333333335,12,explored
explored-28,0.6307291666666668,14,explored
explored-29,0.3071180555555557,20,explored
explored-30,0.5862500000000002,11,explored
explored-31,0.602633101851852,17,explored
explored-32,0.6798032407407408,16,explored
explored-33,0.6907002314814816,20,explored
explored-34,0.21510416666666698,13,explored
explored-35,0.7017939814814815,12,explored
explored-36,0.5793402777777779,12,explored
explored-37,0.24861111111111134,15,explored
explored-38,0.630295138888889,11,explored
explored-39,0.15625000000000022,11,explored
explored-40,0.6838541666666668,10,explored
explored-41,0.26197916666666676,8,explored
explored-42,0.5024305555555558,12,explored
explored-43,0.615763888888889,11,explored
explored-44,0.5616319444444445,7,explored
explored-45,0.596875,4,explored
explored-46,0.474508101851852,22,explored
explored-47,0.7838541666666667,4,explored
explored-48,0.6414930555555557,10,explored
explored-49,0.4310474537037039,16,explored
explored-50,0.32152777777777797,19,explored
explored-51,0.4343750000000002,13,explored
explored-52,0.6263020833333335,11,explored
explored-53,0.5543402777777778,15,explored
explored-54,0.654170138888889,47,explored
explored-55,0.45092592592592606,14,explored
explored-56,0.41848958333333364,15,explored
explored-57,0.29010416666666694,13,explored
explored-58,0.5590277777777779,15,explored
explored-59,0.5970486111111112,17,explored
explored-60,0.4112673611111113,23,explored
explored-61,0.35083912037037057,16,explored
explored-62,0.40483217592592613,15,explored
explored-63,0.44843750000000027,16,explored
