name,comm_cost,complexity,type,degree_conn
explored-0,0.9052947722214653,27,explored,0.6666666666666666
explored-1,0.9437082708815915,18,explored,1.0
explored-2,0.958779957911311,26,explored,0.6666666666666666
explored-3,0.9743561793159831,8,explored,0.0
explored-4,0.9522387084454285,89,explored,0.9
explored-5,0.8490143979652087,17,explored,1.0
explored-6,0.8090448100710057,80,explored,1.0
explored-7,0.8797520098106009,20,explored,1.0
explored-8,0.9429472486183009,34,explored,0.5
explored-9,0.9379361542946859,79,explored,1.0
explored-10,0.8877695027542838,66,explored,0.5
explored-11,0.9049097198977794,92,explored,0.7
explored-12,0.9080102063989515,55,explored,0.6666666666666666
explored-13,0.9053906334615559,35,explored,0.75
explored-14,0.8706990780638417,93,explored,0.7
explored-15,0.9140477488174722,19,explored,1.0
explored-16,0.8557633495329366,65,explored,1.0
explored-17,0.9609151045620592,31,explored,0.5
explored-18,0.942927754305371,61,explored,0.5714285714285714
explored-19,0.8582146750238452,46,explored,1.0
explored-20,0.89485408461427,95,explored,0.9
explored-21,0.9043175345303179,66,explored,0.8571428571428571
explored-22,0.8958741881678369,82,explored,0.7777777777777778
explored-23,0.8485346550392878,34,explored,1.0
explored-24,0.9412102012081573,30,explored,1.0
explored-25,0.9140296332534316,77,explored,0.75
explored-26,0.9049155018019985,47,explored,1.0
explored-27,0.9434262918048175,17,explored,0.0
explored-28,0.9020740466782162,82,explored,0.6666666666666666
explored-29,0.9550640505626738,27,explored,0.0
explored-30,0.9185879498958597,86,explored,0.7777777777777778
explored-31,0.8829529354908368,87,explored,0.7
explored-32,0.8559501806878833,37,explored,0.75
explored-33,0.9213277811377545,70,explored,0.625
explored-34,0.8818094523377941,74,explored,0.875
explored-35,0.833184422426826,61,explored,0.8571428571428571
explored-36,0.9532071052329252,34,explored,0.5
explored-37,0.8713436722056765,72,explored,0.7777777777777778
explored-38,0.8790997028611862,44,explored,0.8
explored-39,0.9192875252625433,54,explored,0.6666666666666666
explored-40,0.9667908131595282,16,explored,0.5
explored-41,0.926284933670136,56,explored,0.6666666666666666
explored-42,0.879341453852645,72,explored,0.875
explored-43,0.8437836313088212,94,explored,0.8
explored-44,0.8697339418163099,81,explored,0.8888888888888888
explored-45,0.9242385614312711,73,explored,0.5
explored-46,0.8878209478822642,46,explored,0.8
explored-47,0.8633543936145036,25,explored,0.6666666666666666
explored-48,0.8574768255739588,88,explored,0.7
explored-49,0.9881682336376436,10,explored,1.0
explored-50,0.9074278312186729,71,explored,0.75
explored-51,0.8827737691727531,94,explored,0.8
explored-52,0.892856466972491,47,explored,0.6
explored-53,0.9108593215487888,45,explored,0.8
explored-54,0.8683843644269111,63,explored,0.75
explored-55,0.9404831912182691,17,explored,0.5
explored-56,0.9711283705015821,8,explored,0.0
explored-57,0.9016154831191362,73,explored,0.5555555555555556
explored-58,0.8790390866797735,34,explored,0.5
explored-59,0.9590483556823738,20,explored,0.5
explored-60,0.9085140546003843,64,explored,0.5
explored-61,0.9003185038833629,62,explored,1.0
explored-62,0.9080802830983172,62,explored,0.7142857142857143
explored-63,0.9604289528267232,26,explored,0.6666666666666666
explored-64,0.9185488844744372,23,explored,0.3333333333333333
explored-65,0.8321205742930702,83,explored,0.8888888888888888
explored-66,0.9248804900758505,51,explored,0.6666666666666666
explored-67,0.9565543248556768,28,explored,0.0
explored-68,0.7828169709769723,23,explored,1.0
explored-69,0.8802393653320748,74,explored,0.7777777777777778
explored-70,0.9331642686240036,59,explored,0.5714285714285714
explored-71,0.9959122496252896,6,explored,1.0
explored-72,0.9552853098363385,40,explored,1.0
explored-73,0.9724076849707044,10,explored,0.0
explored-74,0.917393377844393,10,explored,1.0
explored-75,0.8679730263529146,82,explored,0.8888888888888888
explored-76,0.8371641258810832,62,explored,0.8571428571428571
explored-77,0.8144524685470318,28,explored,1.0
explored-78,0.9808897669982286,20,explored,1.0
explored-79,0.8294107962029341,85,explored,0.8888888888888888
explored-80,0.9150429213789345,23,explored,0.3333333333333333
explored-81,0.8406218030655965,33,explored,0.75
explored-82,0.9601103692601172,20,explored,0.5
explored-83,0.9031077517794122,86,explored,0.6666666666666666
explored-84,0.8752617025372169,49,explored,1.0
explored-85,0.9585093336966889,7,explored,0.0
explored-86,0.8571501733954243,71,explored,0.6666666666666666
explored-87,0.832695053954852,93,explored,0.8
explored-88,0.9218852833861891,65,explored,0.7142857142857143
explored-89,0.9118719950168377,19,explored,0.5
explored-90,0.8292512603896989,25,explored,1.0
explored-91,0.896261668709783,88,explored,0.6
explored-92,0.9071618510035415,60,explored,0.42857142857142855
explored-93,0.9435451843350919,89,explored,0.6
explored-94,0.8323422431151686,73,explored,0.875
explored-95,0.9712494890312031,10,explored,0.0
explored-96,0.8922376032290691,45,explored,0.4
explored-97,0.9565799177964897,37,explored,0.75
explored-98,0.8318599711517685,97,explored,0.7
explored-99,0.9278737448608577,35,explored,0.75
explored-100,0.8951948251026804,67,explored,0.875
explored-101,0.836038629241041,36,explored,1.0
explored-102,0.9511173184357542,10,explored,1.0
explored-103,0.9176122054399267,51,explored,0.8333333333333334
explored-104,0.9280523245811432,33,explored,0.75
explored-105,0.9118673314127395,96,explored,0.9
explored-106,0.8715406421156523,87,explored,0.6
explored-107,0.9519449352162176,28,explored,0.3333333333333333
explored-108,0.8967556463663293,96,explored,0.8
explored-109,0.8653322345891457,78,explored,0.75
explored-110,0.9735287195431629,10,explored,0.0
explored-111,0.9665145115138302,19,explored,1.0
explored-112,0.903287702154965,53,explored,0.8333333333333334
explored-113,0.8237812447956882,49,explored,1.0
explored-114,0.9308470966215101,34,explored,0.75
explored-115,0.9437756032220717,48,explored,0.6
explored-116,0.9571807907934538,27,explored,0.3333333333333333
explored-117,0.8341690511877186,61,explored,0.8571428571428571
explored-118,0.9534803639875116,18,explored,0.5
explored-119,0.7857346476287462,80,explored,0.6666666666666666
explored-120,0.917254875561525,94,explored,0.9
