Expression,RunHash
"subset_eq(A, A)",0b3ddc6eee934cc39dc95b83c942a9e0
"subset_eq(A, B)",a6dcd506e7384d89a413b8fcd910e21c
"subset_eq(A, B)",45b83094f645409bb0c4e6a758d4e1a2
"subset_eq(A, B)",a6dcd506e7384d89a413b8fcd910e21c
"subset_eq(B, A)",6def0a3099bd497084e14c6f299acba4
"subset_eq(B, A)",7d64e6acc79d430ead0a6cbc82daa29e
"subset_eq(B, A)",6def0a3099bd497084e14c6f299acba4
"and(subset_eq(A, B), subset_eq(B, A))",d2c3363441104533a434b6ec49191e1d
"or(subset_eq(A, B), subset_eq(B, A))",71b0afff53b44aa0b0a695649d465dbf
"or(subset_eq(A, B), subset_eq(B, A))",7a7bb265d0184bbfa2bea2462cd341bc
"or(subset_eq(A, B), subset_eq(B, A))",71b0afff53b44aa0b0a695649d465dbf
"not(subset_eq(A, B))",46ba9cc9e5f749e0a5f6d7010e83fcab
"not(subset_eq(B, A))",790d60071929401dafdd0e6c8438b431
"subset_eq(A, difference(A, A))",d93b096ded3e4bae9c4519c34b09e43d
"subset_eq(A, difference(A, B))",ba8a2ef1622d4c6ba168b6298b71d8d1
"subset_eq(A, difference(A, B))",1906779b8ac74f5cad1b344fce839e88
"subset_eq(A, difference(A, B))",ba8a2ef1622d4c6ba168b6298b71d8d1
"subset_eq(B, difference(A, A))",2ebc97f0b2d449408dca1335e09ebd69
"subset_eq(union(A, B), difference(A, A))",f8148d81f9dd4eaca592fbfe5c645b02
"equals(cardinality(A), cardinality(B))",8c57597fcf8947518f1e410a0e44c7bc
"equals(cardinality(A), cardinality(B))",ef603d8fa886431ca0c5f54816d1f158
"equals(cardinality(A), cardinality(B))",8c57597fcf8947518f1e410a0e44c7bc
"greater_than(cardinality(A), cardinality(B))",a4c58952b7a542f7b4b20bfadfcb35bb
"greater_than(cardinality(A), cardinality(B))",8200604bdb4443609b7f75a317d5135b
"greater_than(cardinality(A), cardinality(B))",a4c58952b7a542f7b4b20bfadfcb35bb
"greater_than(cardinality(B), cardinality(A))",ee2cebcf14be43c09f882b92ad77415b
"greater_than(cardinality(B), cardinality(A))",ebcb80ab1efc48a8b3995bc22858e4b7
"greater_than(cardinality(B), cardinality(A))",ee2cebcf14be43c09f882b92ad77415b
"and(subset_eq(A, B), not(subset_eq(B, A)))",fc0c158e48bc43c2abf087da6560b7f3
"and(subset_eq(A, B), not(subset_eq(B, A)))",b7becdf3fae84318a56c2d01485d4903
"and(subset_eq(A, B), not(subset_eq(B, A)))",fc0c158e48bc43c2abf087da6560b7f3
"and(subset_eq(B, A), not(subset_eq(A, B)))",8a3f17cdcc084490ad6496eb25d0b135
"and(subset_eq(B, A), not(subset_eq(A, B)))",0ae6b8076251432595581d18583cd6e7
"and(subset_eq(B, A), not(subset_eq(A, B)))",8a3f17cdcc084490ad6496eb25d0b135
"or(subset_eq(A, difference(A, A)), subset_eq(B, difference(A, A)))",7a70d0450566436ca66df41eba393f19
"not(or(subset_eq(A, B), subset_eq(B, A)))",60f5830660674c978ac313be7a897981
"not(or(subset_eq(A, B), subset_eq(B, A)))",7afb012b9ee54b35a25b4103e7aecf91
"not(or(subset_eq(A, B), subset_eq(B, A)))",60f5830660674c978ac313be7a897981
"and(not(subset_eq(A, B)), subset_eq(A, difference(A, B)))",a0a7365739d24246b81c3999237f2621
"and(not(subset_eq(A, B)), subset_eq(A, difference(A, B)))",8b942a785e524ed896abef4f1a4e097c
"and(not(subset_eq(A, B)), subset_eq(A, difference(A, B)))",a0a7365739d24246b81c3999237f2621
"greater_than(cardinality(index(cardinality(B), A)), cardinality(B))",b24ca1c6c02547bd8a144f98d1db8723
"and(not(subset_eq(A, B)), equals(cardinality(A), cardinality(B)))",285ca7eacddd4345a7c396073d9ed3fb
"and(not(subset_eq(A, B)), equals(cardinality(A), cardinality(B)))",28f808c588854174a0df1cf16ecfc312
"and(not(subset_eq(A, B)), equals(cardinality(A), cardinality(B)))",285ca7eacddd4345a7c396073d9ed3fb
"and(not(subset_eq(A, B)), greater_than(cardinality(B), cardinality(A)))",fc9d949f03f94d8db01d55aafa7973b7
