index,term_expression,original_index
0,"greater_than(cardinality(difference(B, A)), cardinality(A))",137
1,"or(not(subset_eq(B, A)), subset_eq(A, difference(A, B)))",49
2,"and(not(subset_eq(B, A)), subset_eq(A, difference(A, B)))",23
3,"subset_eq(index(cardinality(B), union(A, B)), A)",93
4,"not(equals(cardinality(A), cardinality(B)))",61
5,"greater_than(cardinality(A), cardinality(B))",12
6,"subset_eq(union(difference(A, B), difference(B, A)), index(cardinality(A), difference(B, A)))",106
7,"equals(cardinality(intersection(A, B)), cardinality(difference(A, B)))",132
8,"subset_eq(index(cardinality(A), B), index(cardinality(B), union(A, B)))",110
9,"subset_eq(index(cardinality(B), A), index(cardinality(B), union(A, B)))",112
10,"and(not(subset_eq(A, B)), equals(cardinality(A), cardinality(B)))",20
11,"subset_eq(A, difference(A, B))",8
12,"subset_eq(difference(B, A), index(cardinality(A), difference(B, A)))",86
13,"or(subset_eq(B, A), not(subset_eq(A, B)))",34
14,"subset_eq(difference(A, B), index(cardinality(B), A))",80
15,"or(subset_eq(A, difference(A, B)), greater_than(cardinality(A), cardinality(B)))",54
16,"or(subset_eq(A, B), greater_than(cardinality(A), cardinality(B)))",32
17,"not(or(subset_eq(A, B), subset_eq(B, A)))",17
18,"and(not(subset_eq(A, B)), subset_eq(A, difference(A, B)))",18
19,"or(subset_eq(B, difference(A, A)), equals(cardinality(A), cardinality(B)))",56
20,"or(subset_eq(A, B), greater_than(cardinality(B), cardinality(A)))",33
21,"subset_eq(union(A, B), difference(A, A))",10
22,"subset_eq(index(cardinality(A), union(A, B)), B)",91
23,"subset_eq(index(cardinality(B), A), index(cardinality(B), difference(A, B)))",113
24,"subset_eq(index(cardinality(B), union(A, B)), B)",94
25,"subset_eq(B, index(cardinality(B), A))",71
26,"not(subset_eq(A, difference(A, B)))",63
27,"or(subset_eq(B, difference(A, A)), greater_than(cardinality(B), cardinality(A)))",58
28,"or(subset_eq(A, difference(A, A)), greater_than(cardinality(B), cardinality(A)))",52
29,"or(subset_eq(B, A), subset_eq(A, difference(A, A)))",35
30,"subset_eq(union(difference(A, B), difference(B, A)), index(cardinality(B), A))",105
31,"or(not(subset_eq(A, B)), subset_eq(B, difference(A, A)))",47
32,"greater_than(cardinality(intersection(A, B)), cardinality(difference(A, B)))",138
33,"subset_eq(index(cardinality(A), union(A, B)), index(cardinality(A), B))",115
34,"greater_than(cardinality(difference(A, B)), cardinality(B))",136
35,"subset_eq(A, index(cardinality(A), union(A, B)))",68
36,"subset_eq(union(A, B), index(cardinality(A), B))",74
37,"or(subset_eq(B, A), equals(cardinality(A), cardinality(B)))",37
38,"subset_eq(index(cardinality(A), union(A, B)), index(cardinality(A), difference(B, A)))",117
39,"subset_eq(index(cardinality(B), union(A, B)), index(cardinality(B), A))",124
40,"greater_than(cardinality(intersection(A, B)), cardinality(difference(B, A)))",139
41,"or(not(subset_eq(A, B)), subset_eq(A, difference(A, A)))",46
42,"subset_eq(index(cardinality(A), B), index(cardinality(A), union(A, B)))",108
43,"not(greater_than(cardinality(A), cardinality(B)))",60
44,"subset_eq(union(difference(A, B), difference(B, A)), index(cardinality(A), B))",104
45,"subset_eq(index(cardinality(B), difference(A, B)), index(cardinality(B), union(A, B)))",129
46,"subset_eq(difference(A, B), index(cardinality(A), union(A, B)))",81
47,"not(subset_eq(B, difference(A, A)))",64
48,"or(and(subset_eq(A, B), subset_eq(B, A)), subset_eq(A, difference(A, B)))",41
49,"subset_eq(index(cardinality(A), difference(B, A)), index(cardinality(A), B))",119
50,"subset_eq(intersection(A, B), index(cardinality(A), B))",76
51,"not(subset_eq(A, difference(A, A)))",62
52,"subset_eq(A, A)",0
53,"or(or(subset_eq(A, B), subset_eq(B, A)), subset_eq(A, difference(A, B)))",43
54,"subset_eq(B, difference(A, A))",9
55,"subset_eq(index(cardinality(A), union(A, B)), intersection(A, B))",98
56,"greater_than(cardinality(difference(A, B)), cardinality(intersection(A, B)))",140
57,"or(subset_eq(A, difference(A, A)), subset_eq(B, difference(A, A)))",16
58,"or(subset_eq(A, B), subset_eq(B, A))",4
59,"and(not(subset_eq(B, A)), greater_than(cardinality(A), cardinality(B)))",24
60,"subset_eq(difference(B, A), index(cardinality(A), union(A, B)))",85
61,"subset_eq(index(cardinality(A), B), index(cardinality(A), difference(B, A)))",109
62,"subset_eq(B, A)",2
63,"subset_eq(index(cardinality(A), difference(B, A)), index(cardinality(A), union(A, B)))",120
64,"subset_eq(union(A, B), index(cardinality(B), A))",75
65,"equals(cardinality(B), cardinality(difference(A, B)))",131
66,"subset_eq(A, B)",1
67,"equals(cardinality(A), cardinality(B))",11
68,"subset_eq(index(cardinality(B), A), difference(A, B))",97
69,"or(subset_eq(A, difference(A, B)), greater_than(cardinality(B), cardinality(A)))",55
70,"subset_eq(index(cardinality(A), union(A, B)), index(cardinality(B), difference(A, B)))",118
71,"subset_eq(index(cardinality(A), union(A, B)), difference(B, A))",100
72,"subset_eq(index(cardinality(B), union(A, B)), index(cardinality(A), B))",123
73,"subset_eq(B, index(cardinality(A), B))",70
74,"or(subset_eq(A, B), subset_eq(A, difference(A, B)))",29
75,"greater_than(cardinality(B), cardinality(A))",13
76,"subset_eq(index(cardinality(B), A), index(cardinality(A), union(A, B)))",111
77,"subset_eq(difference(B, A), index(cardinality(A), B))",84
78,"subset_eq(B, index(cardinality(A), union(A, B)))",72
79,"and(subset_eq(A, B), subset_eq(B, A))",3
80,"subset_eq(index(cardinality(A), union(A, B)), A)",90
81,"subset_eq(index(cardinality(B), A), B)",89
82,"subset_eq(index(cardinality(B), union(A, B)), difference(B, A))",103
83,"or(subset_eq(B, A), greater_than(cardinality(A), cardinality(B)))",38
84,"or(and(subset_eq(A, B), subset_eq(B, A)), subset_eq(B, difference(A, A)))",42
85,"subset_eq(difference(A, B), index(cardinality(B), union(A, B)))",82
86,"subset_eq(A, index(cardinality(A), B))",66
87,"or(subset_eq(A, difference(A, A)), equals(cardinality(A), cardinality(B)))",50
88,"equals(cardinality(A), cardinality(difference(B, A)))",130
89,"subset_eq(A, difference(A, A))",7
90,"subset_eq(intersection(A, B), index(cardinality(A), union(A, B)))",78
91,"not(subset_eq(B, A))",6
92,"not(greater_than(cardinality(B), cardinality(A)))",59
93,"not(subset_eq(A, B))",5
94,"or(subset_eq(A, B), subset_eq(B, difference(A, A)))",30
95,"and(subset_eq(B, A), not(subset_eq(A, B)))",15
96,"subset_eq(A, index(cardinality(B), A))",67
97,"or(subset_eq(A, difference(A, B)), equals(cardinality(A), cardinality(B)))",53
98,"subset_eq(index(cardinality(A), union(A, B)), difference(A, B))",99
99,"and(subset_eq(A, B), not(subset_eq(B, A)))",14
100,"subset_eq(B, index(cardinality(B), union(A, B)))",73
101,"subset_eq(index(cardinality(B), union(A, B)), intersection(A, B))",101
102,"subset_eq(index(cardinality(A), difference(B, A)), index(cardinality(B), union(A, B)))",121
103,"or(subset_eq(B, A), greater_than(cardinality(B), cardinality(A)))",39
104,"greater_than(cardinality(difference(B, A)), cardinality(intersection(A, B)))",141
105,"subset_eq(index(cardinality(B), union(A, B)), difference(A, B))",102
106,"subset_eq(index(cardinality(A), union(A, B)), index(cardinality(B), A))",116
107,"greater_than(cardinality(A), cardinality(difference(B, A)))",134
108,"subset_eq(index(cardinality(A), B), difference(B, A))",96
109,"not(subset_eq(union(A, B), difference(A, A)))",65
110,"subset_eq(union(difference(A, B), difference(B, A)), index(cardinality(B), difference(A, B)))",107
111,"equals(cardinality(intersection(A, B)), cardinality(difference(B, A)))",133
112,"subset_eq(index(cardinality(A), difference(B, A)), A)",92
113,"or(and(subset_eq(A, B), subset_eq(B, A)), subset_eq(A, difference(A, A)))",40
114,"and(subset_eq(A, difference(A, B)), equals(cardinality(A), cardinality(B)))",25
115,"subset_eq(intersection(A, B), index(cardinality(B), union(A, B)))",79
116,"not(and(subset_eq(A, B), subset_eq(B, A)))",45
117,"subset_eq(index(cardinality(B), union(A, B)), index(cardinality(B), difference(A, B)))",126
118,"subset_eq(index(cardinality(B), union(A, B)), index(cardinality(A), difference(B, A)))",125
119,"subset_eq(difference(B, A), index(cardinality(B), union(A, B)))",87
120,"subset_eq(index(cardinality(B), difference(A, B)), index(cardinality(B), A))",127
121,"subset_eq(index(cardinality(A), B), A)",88
122,"or(not(subset_eq(B, A)), subset_eq(A, difference(A, A)))",48
123,"subset_eq(index(cardinality(B), difference(A, B)), B)",95
124,"or(subset_eq(B, A), subset_eq(A, difference(A, B)))",36
125,"or(subset_eq(A, B), equals(cardinality(A), cardinality(B)))",31
126,"subset_eq(intersection(A, B), index(cardinality(B), A))",77
127,"or(subset_eq(B, difference(A, A)), greater_than(cardinality(A), cardinality(B)))",57
128,"or(subset_eq(A, difference(A, A)), greater_than(cardinality(A), cardinality(B)))",51
129,"subset_eq(A, index(cardinality(B), union(A, B)))",69
130,"subset_eq(difference(A, B), index(cardinality(B), difference(A, B)))",83
131,"subset_eq(index(cardinality(B), difference(A, B)), index(cardinality(A), union(A, B)))",128
132,"or(subset_eq(A, B), not(subset_eq(B, A)))",28
133,"and(not(subset_eq(A, B)), greater_than(cardinality(B), cardinality(A)))",21
134,"greater_than(cardinality(B), cardinality(difference(A, B)))",135
135,"or(or(subset_eq(A, B), subset_eq(B, A)), equals(cardinality(A), cardinality(B)))",44
136,"or(subset_eq(A, difference(A, A)), greater_than(cardinality(A), cardinality(difference(B, A))))",2981
137,"and(or(subset_eq(A, difference(A, B)), equals(cardinality(A), cardinality(B))), subset_eq(index(cardinality(B), A), index(cardinality(B), union(A, B))))",1478
138,"subset_eq(union(index(cardinality(B), A), index(cardinality(A), union(A, B))), difference(index(cardinality(B), union(A, B)), index(cardinality(B), difference(A, B))))",6413
139,"not(subset_eq(index(cardinality(A), union(A, B)), index(cardinality(A), B)))",5231
140,"and(or(subset_eq(A, difference(A, B)), equals(cardinality(A), cardinality(B))), subset_eq(difference(B, A), index(cardinality(A), union(A, B))))",1464
141,"subset_eq(union(index(cardinality(A), B), index(cardinality(B), difference(A, B))), difference(index(cardinality(B), union(A, B)), index(cardinality(A), difference(B, A))))",6348
142,"or(subset_eq(index(cardinality(A), union(A, B)), intersection(A, B)), subset_eq(index(cardinality(A), B), index(cardinality(A), difference(B, A))))",4855
143,"subset_eq(union(index(cardinality(B), A), index(cardinality(A), difference(B, A))), index(cardinality(A), index(cardinality(A), B)))",6475
144,"subset_eq(index(cardinality(difference(A, B)), union(difference(A, B), difference(B, A))), union(index(cardinality(A), difference(B, A)), index(cardinality(B), union(A, B))))",9411
145,"subset_eq(union(index(cardinality(A), union(A, B)), index(cardinality(B), difference(A, B))), difference(index(cardinality(B), difference(A, B)), index(cardinality(B), union(A, B))))",6703
146,"subset_eq(index(cardinality(difference(B, A)), union(A, B)), index(cardinality(difference(A, B)), A))",9214
147,"subset_eq(difference(index(cardinality(A), union(A, B)), index(cardinality(B), A)), index(cardinality(difference(A, A)), difference(B, A)))",7916
148,"and(or(subset_eq(B, A), equals(cardinality(A), cardinality(B))), subset_eq(index(cardinality(B), union(A, B)), intersection(A, B)))",994
149,"subset_eq(difference(index(cardinality(A), union(A, B)), index(cardinality(B), union(A, B))), index(cardinality(difference(A, B)), B))",8000
150,"and(not(or(subset_eq(A, B), subset_eq(B, A))), subset_eq(difference(A, B), index(cardinality(B), union(A, B))))",479
151,"subset_eq(difference(B, A), index(cardinality(intersection(A, B)), union(A, B)))",5321
152,"and(not(subset_eq(A, B)), subset_eq(index(cardinality(A), union(A, B)), B))",226
153,"subset_eq(difference(union(difference(A, B), difference(B, A)), index(cardinality(B), union(A, B))), index(cardinality(difference(A, A)), A))",7763
154,"subset_eq(index(cardinality(difference(A, B)), union(A, B)), difference(union(A, B), index(cardinality(B), union(A, B))))",9062
155,"and(subset_eq(difference(B, A), index(cardinality(A), union(A, B))), equals(cardinality(intersection(A, B)), cardinality(difference(A, B))))",2130
156,"and(subset_eq(difference(B, A), index(cardinality(A), union(A, B))), greater_than(cardinality(B), cardinality(difference(A, B))))",2133
157,"subset_eq(union(index(cardinality(A), union(A, B)), index(cardinality(B), difference(A, B))), index(cardinality(difference(B, A)), union(A, B)))",6721
158,"subset_eq(difference(difference(A, B), index(cardinality(B), A)), union(index(cardinality(A), union(A, B)), index(cardinality(B), union(A, B))))",7538
159,"and(subset_eq(index(cardinality(A), B), difference(B, A)), subset_eq(index(cardinality(B), A), index(cardinality(A), union(A, B))))",2444
