expression,force,flavor,can_express,polarity,syntactically_negated,full_form,notes
Jatding,strong,epistemic,1,positive,no,jatding,
Jatding,weak necessity,epistemic,?,positive,no,jatding,
Jatding,weak,epistemic,?,positive,no,jatding,
Jatding,strong,deontic,1,positive,no,(jatding) jiu,exists as an optional element before the main Deontic modal jiu
Jatding,weak necessity,deontic,?,positive,no,jatding,
Jatding,weak,deontic,?,positive,no,jatding,
Jatding,strong,teleological,1,positive,no,(jatding) jiu,exists as an optional element before the main modal jiu. Used for emphasis
Jatding,weak necessity,teleological,?,positive,no,jatding,
Jatding,weak,teleological,?,positive,no,jatding,
Jatding,strong,circumstantial,?,positive,no,jatding,
Jatding,weak,circumstantial,?,positive,no,jatding,
Jatding,strong,bouletic,1,positive,no,jatding wui / jatding jiu,
Jinggoi,strong,epistemic,?,positive,no,jinggoi,
Jinggoi,weak necessity,epistemic,1,positive,no,jinggoi,
Jinggoi,weak,epistemic,1,positive,no,jinggoi,
Jinggoi,strong,deontic,?,positive,no,jinggoi,
Jinggoi,weak necessity,deontic,1,positive,no,jinggoi (jiu),
Jinggoi,weak,deontic,?,positive,no,jinggoi,
Jinggoi,strong,teleological,?,positive,no,jinggoi,
Jinggoi,weak necessity,teleological,1,positive,no,jinngoi,
Jinggoi,weak,teleological,?,positive,no,jinggoi,
Jinggoi,strong,circumstantial,?,positive,no,jinggoi,
Jinggoi,weak,circumstantial,1,positive,no,(jinggoi) dou/hoji,"exists as an optional element before main circumstantial possibiliity modal dou, or general possibiity modal hoji"
Jinggoi,strong,bouletic,?,positive,no,jinggoi,
Jiu,strong,epistemic,?,positive,no,jiu,
Jiu,weak necessity,epistemic,?,positive,no,jiu,
Jiu,weak,epistemic,?,positive,no,jiu,
Jiu,strong,deontic,1,positive,no,(jatding) jiu,
Jiu,weak necessity,deontic,1,positive,no,(jinggoi) jiu,
Jiu,weak,deontic,?,positive,no,jiu,
Jiu,strong,teleological,1,positive,no,(jatding) jiu,
Jiu,weak necessity,teleological,?,positive,no,jiu,
Jiu,weak,teleological,?,positive,no,jiu,
Jiu,strong,circumstantial,1,positive,no,jiu,participant internal use only
Jiu,weak,circumstantial,?,positive,no,jiu,
