expression,force,flavor,can_express,polarity,syntactically_negated,full_form,notes
bayad,strong,epistemic,1,positive,no,bayad,
bayad,weak necessity,epistemic,1,positive,no,bayad,it is noted that 'bayad' can be modified by adverbial to distinguish between strong and weak necessity
bayad,weak,epistemic,?,positive,no,bayad,
bayad,strong,deontic,1,positive,no,bayad,
bayad,weak necessity,deontic,1,positive,no,bayad,
bayad,weak,deontic,?,positive,no,bayad,
bayad,strong,teleological,1,positive,no,bayad (hatman),it is noted that the adverb hatman is optional but dropping it weakens the teleological reading
bayad,weak necessity,teleological,1,positive,no,bayad,
bayad,weak,teleological,?,positive,no,bayad,
bayad,strong,circumstantial,1,positive,no,bayad,
bayad,weak,circumstantial,?,positive,no,bayad,
bayad,strong,bouletic,1,positive,no,bayad,
lazem ast,strong,epistemic,?,positive,no,lazem ast (ke),lazem/necessary ast/be ke/that
lazem ast,weak necessity,epistemic,?,positive,no,lazem ast (ke),
lazem ast,weak,epistemic,?,positive,no,lazem ast (ke),
lazem ast,strong,deontic,1,positive,no,lazem ast (ke),
lazem ast,weak necessity,deontic,0,positive,no,lazem ast (ke),the author noted it is too strong for weak necessity
lazem ast,weak,deontic,?,positive,no,lazem ast (ke),
lazem ast,strong,teleological,?,positive,no,lazem ast (ke),
lazem ast,weak necessity,teleological,?,positive,no,lazem ast (ke),
lazem ast,weak,teleological,?,positive,no,lazem ast (ke),
lazem ast,strong,circumstantial,0,positive,no,lazem ast (ke),
lazem ast,weak,circumstantial,?,positive,no,lazem ast (ke),
lazem ast,strong,bouletic,?,positive,no,lazem ast (ke),
lazem ast,strong,epistemic,?,negative,yes,lazem n-ist,
lazem ast,weak necessity,epistemic,?,negative,yes,lazem n-ist,
lazem ast,weak,epistemic,?,negative,yes,lazem n-ist,
lazem ast,strong,deontic,1,negative,yes,lazem n-ist,
lazem ast,weak necessity,deontic,?,negative,yes,lazem n-ist,
lazem ast,weak,deontic,?,negative,yes,lazem n-ist,
lazem ast,strong,teleological,?,negative,yes,lazem n-ist,
lazem ast,weak necessity,teleological,?,negative,yes,lazem n-ist,
lazem ast,weak,teleological,?,negative,yes,lazem n-ist,
lazem ast,strong,circumstantial,?,negative,yes,lazem n-ist,
lazem ast,weak,circumstantial,?,negative,yes,lazem n-ist,
lazem ast,strong,bouletic,?,negative,yes,lazem n-ist,
khāstan,strong,epistemic,?,positive,no,,
khāstan,weak necessity,epistemic,?,positive,no,,
khāstan,weak,epistemic,?,positive,no,,
khāstan,strong,deontic,?,positive,no,,
khāstan,weak necessity,deontic,?,positive,no,,
khāstan,weak,deontic,?,positive,no,,
khāstan,strong,teleological,?,positive,no,,
khāstan,weak necessity,teleological,?,positive,no,,
khāstan,weak,teleological,?,positive,no,,
khāstan,strong,circumstantial,?,positive,no,,
khāstan,weak,circumstantial,?,positive,no,,
khāstan,strong,bouletic,1,positive,no,xah,"khāstan is the uninflected form of 'xah', 'xah' is the expression elicited "
behtar ast ,strong,epistemic,?,positive,no,behtar ast (ke),
behtar ast ,weak necessity,epistemic,?,positive,no,behtar ast (ke),
behtar ast ,weak,epistemic,?,positive,no,behtar ast (ke),
behtar ast ,strong,deontic,?,positive,no,behtar ast (ke),
behtar ast ,weak necessity,deontic,?,positive,no,behtar ast (ke),
behtar ast ,weak,deontic,?,positive,no,behtar ast (ke),
behtar ast ,strong,teleological,?,positive,no,behtar ast (ke),
behtar ast ,weak necessity,teleological,1,positive,no,behtar ast (ke),
behtar ast ,weak,teleological,?,positive,no,behtar ast (ke),
behtar ast ,strong,circumstantial,?,positive,no,behtar ast (ke),
behtar ast ,weak,circumstantial,?,positive,no,behtar ast (ke),
behtar ast ,strong,bouletic,?,positive,no,behtar ast (ke),
shayad,strong,epistemic,?,positive,no,shayad,
shayad,weak necessity,epistemic,?,positive,no,shayad,
shayad,weak,epistemic,1,positive,no,shayad,
shayad,strong,deontic,?,positive,no,shayad,
shayad,weak necessity,deontic,?,positive,no,shayad,
shayad,weak,deontic,?,positive,no,shayad,
shayad,strong,teleological,?,positive,no,shayad,
shayad,weak necessity,teleological,?,positive,no,shayad,
shayad,weak,teleological,?,positive,no,shayad,
shayad,strong,circumstantial,?,positive,no,shayad,
shayad,weak,circumstantial,?,positive,no,shayad,
shayad,strong,bouletic,?,positive,no,shayad,
shayad,strong,epistemic,1,negative,yes,shayad na-V,na is a negation morpheme on verb
shayad,weak necessity,epistemic,?,negative,yes,shayad na-V,
shayad,weak,epistemic,0,negative,yes,shayad na-V,
shayad,strong,deontic,?,negative,yes,shayad na-V,
shayad,weak necessity,deontic,?,negative,yes,shayad na-V,
shayad,weak,deontic,?,negative,yes,shayad na-V,
shayad,strong,teleological,?,negative,yes,shayad na-V,
shayad,weak necessity,teleological,?,negative,yes,shayad na-V,
shayad,weak,teleological,?,negative,yes,shayad na-V,
shayad,strong,circumstantial,?,negative,yes,shayad na-V,
shayad,weak,circumstantial,?,negative,yes,shayad na-V,
shayad,strong,bouletic,?,negative,yes,shayad na-V,
momken ast,strong,epistemic,?,positive,no,momken ast (ke),
momken ast,weak necessity,epistemic,?,positive,no,momken ast (ke),
momken ast,weak,epistemic,1,positive,no,momken ast (ke),
momken ast,strong,deontic,?,positive,no,momken ast (ke),
momken ast,weak necessity,deontic,?,positive,no,momken ast (ke),
momken ast,weak,deontic,?,positive,no,momken ast (ke),
momken ast,strong,teleological,?,positive,no,momken ast (ke),
momken ast,weak necessity,teleological,?,positive,no,momken ast (ke),
momken ast,weak,teleological,?,positive,no,momken ast (ke),
momken ast,strong,circumstantial,?,positive,no,momken ast (ke),
momken ast,weak,circumstantial,?,positive,no,momken ast (ke),
momken ast,strong,bouletic,?,positive,no,momken ast (ke),
momken ast,strong,epistemic,1,negative,yes,momken ast na-V,this is putting the negation on the verb in the clause
momken ast,weak necessity,epistemic,?,negative,yes,,
momken ast,weak,epistemic,1,negative,yes,momken n-ist,this is putting the negation on the copula 'ist'
momken ast,strong,deontic,?,negative,yes,,
momken ast,weak necessity,deontic,?,negative,yes,,
momken ast,weak,deontic,?,negative,yes,,
momken ast,strong,teleological,?,negative,yes,,
momken ast,weak necessity,teleological,?,negative,yes,,
momken ast,weak,teleological,?,negative,yes,,
momken ast,strong,circumstantial,?,negative,yes,,
momken ast,weak,circumstantial,?,negative,yes,,
momken ast,strong,bouletic,?,negative,yes,,
emkand ast,strong,epistemic,?,positive,no,emkand ast (ke),
emkand ast,weak necessity,epistemic,?,positive,no,emkand ast (ke),
emkand ast,weak,epistemic,1,positive,no,emkand ast (ke),
emkand ast,strong,deontic,?,positive,no,emkand ast (ke),
emkand ast,weak necessity,deontic,?,positive,no,emkand ast (ke),
emkand ast,weak,deontic,?,positive,no,emkand ast (ke),
emkand ast,strong,teleological,?,positive,no,emkand ast (ke),
emkand ast,weak necessity,teleological,?,positive,no,emkand ast (ke),
emkand ast,weak,teleological,?,positive,no,emkand ast (ke),
emkand ast,strong,circumstantial,?,positive,no,emkand ast (ke),
emkand ast,weak,circumstantial,?,positive,no,emkand ast (ke),
