expression,force,flavor,can_express,notes
ima(’a),weak,epistemic,1,
ima(’a),weak,reportative,0,
ima(’a),weak,deontic,0,
ima(’a),weak,circumstantial,0,
ima(’a),strong,epistemic,1,
ima(’a),strong,reportative,0,
ima(’a),strong,deontic,0,
ima(’a),strong,circumstantial,0,
gat,weak,epistemic,1,
gat,weak,reportative,1,
gat,weak,deontic,0,
gat,weak,circumstantial,0,
gat,strong,epistemic,1,
gat,strong,reportative,1,
gat,strong,deontic,0,
gat,strong,circumstantial,0,
da’akhlxw,weak,epistemic,0,
da’akhlxw,weak,reportative,0,
da’akhlxw,weak,deontic,0,
da’akhlxw,weak,circumstantial,1,
da’akhlxw,strong,epistemic,0,
da’akhlxw,strong,reportative,0,
da’akhlxw,strong,deontic,0,
da’akhlxw,strong,circumstantial,0,
anook(xw),weak,epistemic,0,
anook(xw),weak,reportative,0,
anook(xw),weak,deontic,1,
anook(xw),weak,circumstantial,0,
anook(xw),strong,epistemic,0,
anook(xw),strong,reportative,0,
anook(xw),strong,deontic,0,
anook(xw),strong,circumstantial,0,
sgi,weak,epistemic,0,
sgi,weak,reportative,0,
sgi,weak,deontic,0,
sgi,weak,circumstantial,0,
sgi,strong,epistemic,0,
sgi,strong,reportative,0,
sgi,strong,deontic,1,
sgi,strong,circumstantial,1,
