expression,force,flavor,can_express,polarity,syntactically_negated,full_form,notes
Prepei,strong,epistemic,1,positive,no,,
Prepei,weak necessity,epistemic,1,positive,no,,
Prepei,weak,epistemic,1,positive,no,,
Prepei,strong,deontic,1,positive,no,,
Prepei,weak necessity,deontic,1,positive,no,,
Prepei,weak,deontic,0,positive,no,,
Prepei,strong,teleological,1,positive,no,,
Prepei,weak necessity,teleological,1,positive,no,,
Prepei,weak,teleological,0,positive,no,,
Prepei,strong,circumstantial,1,positive,no,,
Prepei,weak,circumstantial,0,positive,no,,
Prepei,strong,bouletic,1,positive,no,,
Mporei,strong,epistemic,0,positive,no,,
Mporei,weak necessity,epistemic,1,positive,no,,
Mporei,weak,epistemic,1,positive,no,,
Mporei,strong,deontic,0,positive,no,,
Mporei,weak necessity,deontic,?,positive,no,,
Mporei,weak,deontic,1,positive,no,,
Mporei,strong,teleological,1,positive,no,,
Mporei,weak necessity,teleological,1,positive,no,,
Mporei,weak,teleological,1,positive,no,,
Mporei,strong,circumstantial,0,positive,no,,
Mporei,weak,circumstantial,1,positive,no,,
Mporei,strong,bouletic,0,positive,no,,
Isos,strong,epistemic,?,positive,no,,
Isos,weak necessity,epistemic,?,positive,no,,
Isos,weak,epistemic,1,positive,no,,
Isos,strong,deontic,?,positive,no,,
Isos,weak necessity,deontic,?,positive,no,,
Isos,weak,deontic,0,positive,no,,
Isos,strong,teleological,?,positive,no,,
Isos,weak necessity,teleological,?,positive,no,,
Isos,weak,teleological,?,positive,no,,
Isos,strong,circumstantial,?,positive,no,,
Isos,weak,circumstantial,?,positive,no,,
Isos,strong,bouletic,?,positive,no,,
Theli,strong,epistemic,?,positive,no,,
Theli,weak necessity,epistemic,?,positive,no,,
Theli,weak,epistemic,?,positive,no,,
Theli,strong,deontic,?,positive,no,,
Theli,weak necessity,deontic,?,positive,no,,
Theli,weak,deontic,?,positive,no,,
Theli,strong,teleological,?,positive,no,,
Theli,weak necessity,teleological,?,positive,no,,
Theli,weak,teleological,?,positive,no,,
Theli,strong,circumstantial,?,positive,no,,
Theli,weak,circumstantial,?,positive,no,,
Theli,strong,bouletic,1,positive,no,hriazete,
Prepei,strong,epistemic,1,negative,yes,den prepei,
Prepei,weak necessity,epistemic,?,negative,yes,den prepei,
Prepei,weak,epistemic,1,negative,yes,den prepei,
Prepei,strong,deontic,1,negative,yes,den prepei,
Prepei,weak necessity,deontic,?,negative,yes,den prepei,
Prepei,weak,deontic,1,negative,yes,den prepei,
Prepei,strong,teleological,1,negative,yes,den prepei,
Prepei,weak necessity,teleological,?,negative,yes,den prepei,
Prepei,weak,teleological,1,negative,yes,den prepei,
Prepei,strong,circumstantial,0,negative,yes,den prepei,
Prepei,weak,circumstantial,0,negative,yes,den prepei,
Prepei,strong,bouletic,?,negative,yes,den prepei,
Mporei,strong,epistemic,1,negative,yes,den mporei,"Marked as 1 because according to correspondent, it's possible to express the context. However there is a marked ambiguity with a participant-external reading (inability), and arriving at intended reading requires a bit of thought"
Mporei,weak necessity,epistemic,?,negative,yes,den mporei,
Mporei,weak,epistemic,1,negative,yes,den mporei,
Mporei,strong,deontic,1,negative,yes,den mporei,
Mporei,weak necessity,deontic,?,negative,yes,den mporei,
Mporei,weak,deontic,1,negative,yes,den mporei,"Marked as 1 because according to correspondent, it's possible to express the context. However there is a marked ambiguity with a participant-external reading (inability), and arriving at intended reading requires a bit of thought"
Mporei,strong,teleological,0,negative,yes,den mporei,
Mporei,weak necessity,teleological,?,negative,yes,den mporei,
Mporei,weak,teleological,1,negative,yes,den mporei,
Mporei,strong,circumstantial,0,negative,yes,den mporei,
Mporei,weak,circumstantial,1,negative,yes,den mporei,
Mporei,strong,bouletic,?,negative,yes,den mporei,
hreiazomai,strong,epistemic,?,negative,yes,den hriazete,
hreiazomai,weak necessity,epistemic,?,negative,yes,den hriazete,
hreiazomai,weak,epistemic,?,negative,yes,den hriazete,
hreiazomai,strong,deontic,1,negative,yes,den hriazete,
hreiazomai,weak necessity,deontic,?,negative,yes,den hriazete,
hreiazomai,weak,deontic,?,negative,yes,den hriazete,
hreiazomai,strong,teleological,?,negative,yes,den hriazete,
hreiazomai,weak necessity,teleological,?,negative,yes,den hriazete,
hreiazomai,weak,teleological,?,negative,yes,den hriazete,
hreiazomai,strong,circumstantial,?,negative,yes,den hriazete,
hreiazomai,weak,circumstantial,?,negative,yes,den hriazete,
hreiazomai,strong,bouletic,?,negative,yes,den hriazete,
Eine aparetito ,strong,epistemic,?,negative,yes,den eine aparetito,
Eine aparetito ,weak necessity,epistemic,?,negative,yes,den eine aparetito,
Eine aparetito ,weak,epistemic,?,negative,yes,den eine aparetito,
Eine aparetito ,strong,deontic,?,negative,yes,den eine aparetito,
Eine aparetito ,weak necessity,deontic,?,negative,yes,den eine aparetito,
Eine aparetito ,weak,deontic,?,negative,yes,den eine aparetito,
Eine aparetito ,strong,teleological,?,negative,yes,den eine aparetito,
Eine aparetito ,weak necessity,teleological,?,negative,yes,den eine aparetito,
Eine aparetito ,weak,teleological,?,negative,yes,den eine aparetito,
Eine aparetito ,strong,circumstantial,1,negative,yes,den eine aparetito,
Eine aparetito ,weak,circumstantial,?,negative,yes,den eine aparetito,
Eine aparetito ,strong,bouletic,?,negative,yes,den eine aparetito,
