expression,force,flavor,can_express,polarity,syntactically_negated,full_form,notes
batuakh,strong,epistemic,1,positive,no,batuakh,
batuakh,weak necessity,epistemic,?,positive,no,batuakh,
batuakh,weak,epistemic,?,positive,no,batuakh,
batuakh,strong,deontic,?,positive,no,batuakh,
batuakh,weak necessity,deontic,?,positive,no,batuakh,
batuakh,weak,deontic,?,positive,no,batuakh,
batuakh,strong,teleological,?,positive,no,batuakh,
batuakh,weak necessity,teleological,?,positive,no,batuakh,
batuakh,weak,teleological,?,positive,no,batuakh,
batuakh,strong,circumstantial,?,positive,no,batuakh,
batuakh,weak,circumstantial,?,positive,no,batuakh,
batuakh,strong,bouletic,?,positive,no,batuakh,
batuakh,strong,epistemic,1,negative,high*,lo+batuakh,the scope of negation is well-defined; judged based on semantics of the words
batuakh,weak necessity,epistemic,?,negative,,lo+batuakh,
batuakh,weak,epistemic,?,negative,,lo+batuakh,
batuakh,strong,deontic,?,negative,,lo+batuakh,
batuakh,weak necessity,deontic,?,negative,,lo+batuakh,
batuakh,weak,deontic,?,negative,,lo+batuakh,
batuakh,strong,teleological,?,negative,,lo+batuakh,
batuakh,weak necessity,teleological,?,negative,,lo+batuakh,
batuakh,weak,teleological,?,negative,,lo+batuakh,
batuakh,strong,circumstantial,1,negative,high*,lo+batuakh,
batuakh,weak,circumstantial,?,negative,,lo+batuakh,
batuakh,strong,bouletic,?,negative,,lo+batuakh,
khayav,strong,epistemic,1,positive,no,,this expression has word order restriction: sentence initial position not allowed
khayav,weak necessity,epistemic,?,positive,no,,
khayav,weak,epistemic,?,positive,no,,
khayav,strong,deontic,1,positive,no,,
khayav,weak necessity,deontic,?,positive,no,,
khayav,weak,deontic,?,positive,no,,
khayav,strong,teleological,1,positive,no,,
khayav,weak necessity,teleological,0,positive,no,,the author noted this expression is too strong for weak necessity
khayav,weak,teleological,?,positive,no,,
khayav,strong,circumstantial,1,positive,no,,
khayav,weak,circumstantial,?,positive,no,,
khayav,strong,bouletic,?,positive,no,,
khayav,strong,epistemic,?,negative,,lo+khayav,
khayav,weak necessity,epistemic,?,negative,,lo+khayav,
khayav,weak,epistemic,?,negative,,lo+khayav,
khayav,strong,deontic,1,negative,high*,lo+khayav,the scope of negation is well-defined; judged based on semantics of the words
khayav,weak necessity,deontic,?,negative,,lo+khayav,
khayav,weak,deontic,?,negative,,lo+khayav,
khayav,strong,teleological,?,negative,,lo+khayav,
khayav,weak necessity,teleological,?,negative,,lo+khayav,
khayav,weak,teleological,?,negative,,lo+khayav,
khayav,strong,circumstantial,?,negative,,lo+khayav,
khayav,weak,circumstantial,?,negative,,lo+khayav,
khayav,strong,bouletic,?,negative,,lo+khayav,
tzrikh,strong,epistemic,?,positive,no,,
tzrikh,weak necessity,epistemic,?,positive,no,,
tzrikh,weak,epistemic,?,positive,no,,
tzrikh,strong,deontic,?,positive,no,,
tzrikh,weak necessity,deontic,?,positive,no,,
tzrikh,weak,deontic,?,positive,no,,
tzrikh,strong,teleological,1,positive,no,,this is grammatical but a bit weaker than khayav
tzrikh,weak necessity,teleological,0,positive,no,,the author noted this expression is too strong for weak necessity
tzrikh,weak,teleological,?,positive,no,,
tzrikh,strong,circumstantial,?,positive,no,,
tzrikh,weak,circumstantial,?,positive,no,,
tzrikh,strong,bouletic,?,positive,no,,
tzarikh,strong,epistemic,?,positive,no,,"sometimes written as tsarikh, need to verify"
tzarikh,weak necessity,epistemic,?,positive,no,,
tzarikh,weak,epistemic,?,positive,no,,
tzarikh,strong,deontic,?,positive,no,,
tzarikh,weak necessity,deontic,?,positive,no,,
tzarikh,weak,deontic,?,positive,no,,
tzarikh,strong,teleological,?,positive,no,,
tzarikh,weak necessity,teleological,?,positive,no,,
tzarikh,weak,teleological,?,positive,no,,
tzarikh,strong,circumstantial,?,positive,no,,
tzarikh,weak,circumstantial,?,positive,no,,
tzarikh,strong,bouletic,1,positive,no,,
tzarikh,strong,epistemic,?,negative,,lo+tzarikh,
tzarikh,weak necessity,epistemic,?,negative,,lo+tzarikh,
tzarikh,weak,epistemic,?,negative,,lo+tzarikh,
tzarikh,strong,deontic,1,negative,high*,lo+tzarikh,the scope of negation is well-defined; judged based on semantics of the words
tzarikh,weak necessity,deontic,?,negative,,lo+tzarikh,
tzarikh,weak,deontic,?,negative,,lo+tzarikh,
tzarikh,strong,teleological,1,negative,high*,lo+tzarikh,the scope of negation is well-defined; judged based on semantics of the words
tzarikh,weak necessity,teleological,?,negative,,lo+tzarikh,
tzarikh,weak,teleological,?,negative,,lo+tzarikh,
tzarikh,strong,circumstantial,?,negative,,lo+tzarikh,
tzarikh,weak,circumstantial,?,negative,,lo+tzarikh,
tzarikh,strong,bouletic,?,negative,,lo+tzarikh,
amoora,strong,epistemic,?,positive,no,,
amoora,weak necessity,epistemic,1,positive,no,,
amoora,weak,epistemic,?,positive,no,,
amoora,strong,deontic,?,positive,no,,
amoora,weak necessity,deontic,?,positive,no,,
amoora,weak,deontic,?,positive,no,,
amoora,strong,teleological,?,positive,no,,
amoora,weak necessity,teleological,?,positive,no,,
amoora,weak,teleological,?,positive,no,,
amoora,strong,circumstantial,?,positive,no,,
amoora,weak,circumstantial,?,positive,no,,
amoora,strong,bouletic,?,positive,no,,
tzrikha,strong,epistemic,?,positive,no,,
tzrikha,weak necessity,epistemic,1,positive,no,,"amoora fits better in the context, most people would prefer amoora over tzrikha"
tzrikha,weak,epistemic,?,positive,no,,
tzrikha,strong,deontic,?,positive,no,,
tzrikha,weak necessity,deontic,?,positive,no,,
tzrikha,weak,deontic,?,positive,no,,
tzrikha,strong,teleological,?,positive,no,,
tzrikha,weak necessity,teleological,?,positive,no,,
tzrikha,weak,teleological,?,positive,no,,
tzrikha,strong,circumstantial,?,positive,no,,
tzrikha,weak,circumstantial,?,positive,no,,
tzrikha,strong,bouletic,?,positive,no,,
kedai,strong,epistemic,?,positive,no,,
kedai,weak necessity,epistemic,?,positive,no,,
kedai,weak,epistemic,?,positive,no,,
kedai,strong,deontic,?,positive,no,,
kedai,weak necessity,deontic,1,positive,no,,"ra-tsuy is more formal but kedai is more common for this context, coocur with 'she'"
kedai,weak,deontic,?,positive,no,,
kedai,strong,teleological,?,positive,no,,
kedai,weak necessity,teleological,1,positive,no,,
kedai,weak,teleological,?,positive,no,,
kedai,strong,circumstantial,?,positive,no,,
kedai,weak,circumstantial,?,positive,no,,
kedai,strong,bouletic,?,positive,no,,
ra-tsuy,strong,epistemic,?,positive,no,,
ra-tsuy,weak necessity,epistemic,?,positive,no,,
ra-tsuy,weak,epistemic,?,positive,no,,
ra-tsuy,strong,deontic,?,positive,no,,
ra-tsuy,weak necessity,deontic,1,positive,no,,"ra-tsuy is more formal, comes from ‘want’. used to describe general requirements. coocur with 'she'"
ra-tsuy,weak,deontic,?,positive,no,,
ra-tsuy,strong,teleological,?,positive,no,,
ra-tsuy,weak necessity,teleological,?,positive,no,,
ra-tsuy,weak,teleological,?,positive,no,,
ra-tsuy,strong,circumstantial,?,positive,no,,
ra-tsuy,weak,circumstantial,?,positive,no,,
ra-tsuy,strong,bouletic,?,positive,no,,
oolay,strong,epistemic,?,positive,no,,
oolay,weak necessity,epistemic,?,positive,no,,
oolay,weak,epistemic,1,positive,no,,
oolay,strong,deontic,?,positive,no,,
oolay,weak necessity,deontic,?,positive,no,,
oolay,weak,deontic,0,positive,no,,B3 shows judgement for this expression is negative
oolay,strong,teleological,?,positive,no,,
oolay,weak necessity,teleological,?,positive,no,,
oolay,weak,teleological,0,positive,no,,C3 shows judgement for this expression is negative
oolay,strong,circumstantial,?,positive,no,,
oolay,weak,circumstantial,?,positive,no,,
oolay,strong,bouletic,?,positive,no,,
yitakhen,strong,epistemic,?,positive,no,,
