expression,force,flavor,can_express,polarity,syntactically_negated,full_form,notes,
zaroor+hogi/hoga,strong,epistemic,1,positive,no,zaroor+hogi/hoga,"zaroor is an adverb that means 'definitely',hogi/hoga are inflected masculine and feminie form",
zaroor+hogi/hoga,weak necessity,epistemic,?,positive,no,zaroor+hogi/hoga,,
zaroor+hogi/hoga,weak,epistemic,?,positive,no,zaroor+hogi/hoga,,
zaroor+hogi/hoga,strong,deontic,?,positive,no,zaroor+hogi/hoga,,
zaroor+hogi/hoga,weak necessity,deontic,?,positive,no,zaroor+hogi/hoga,,
zaroor+hogi/hoga,weak,deontic,?,positive,no,zaroor+hogi/hoga,,
zaroor+hogi/hoga,strong,teleological,?,positive,no,zaroor+hogi/hoga,,
zaroor+hogi/hoga,weak necessity,teleological,?,positive,no,zaroor+hogi/hoga,,
zaroor+hogi/hoga,weak,teleological,?,positive,no,zaroor+hogi/hoga,,
zaroor+hogi/hoga,strong,circumstantial,?,positive,no,zaroor+hogi/hoga,,
zaroor+hogi/hoga,weak,circumstantial,?,positive,no,zaroor+hogi/hoga,,
zaroor+hogi/hoga,strong,bouletic,?,positive,no,zaroor+hogi/hoga,,
hi+zaroor+hogi/hoga,strong,epistemic,?,positive,no,hi+zaroor+hogi/hoga,hi is emphatic term that stress certainty. The author noted that the level of certainity is bare declaritive> zaroor + hi > zaroor>shayad,
hi+zaroor+hogi/hoga,weak necessity,epistemic,1,positive,no,hi+zaroor+hogi/hoga,,
hi+zaroor+hogi/hoga,weak,epistemic,?,positive,no,hi+zaroor+hogi/hoga,,
hi+zaroor+hogi/hoga,strong,deontic,?,positive,no,hi+zaroor+hogi/hoga,,
hi+zaroor+hogi/hoga,weak necessity,deontic,?,positive,no,hi+zaroor+hogi/hoga,,
hi+zaroor+hogi/hoga,weak,deontic,?,positive,no,hi+zaroor+hogi/hoga,,
hi+zaroor+hogi/hoga,strong,teleological,?,positive,no,hi+zaroor+hogi/hoga,,
hi+zaroor+hogi/hoga,weak necessity,teleological,?,positive,no,hi+zaroor+hogi/hoga,,
hi+zaroor+hogi/hoga,weak,teleological,?,positive,no,hi+zaroor+hogi/hoga,,
hi+zaroor+hogi/hoga,strong,circumstantial,?,positive,no,hi+zaroor+hogi/hoga,,
hi+zaroor+hogi/hoga,weak,circumstantial,?,positive,no,hi+zaroor+hogi/hoga,,
hi+zaroor+hogi/hoga,strong,bouletic,?,positive,no,hi+zaroor+hogi/hoga,,
hi + hoga/hogi ,strong,epistemic,?,positive,no,hi + hoga/hogi ,,
hi + hoga/hogi ,weak necessity,epistemic,1,positive,no,hi + hoga/hogi ,,
hi + hoga/hogi ,weak,epistemic,?,positive,no,hi + hoga/hogi ,,
hi + hoga/hogi ,strong,deontic,?,positive,no,hi + hoga/hogi ,,
hi + hoga/hogi ,weak necessity,deontic,?,positive,no,hi + hoga/hogi ,,
hi + hoga/hogi ,weak,deontic,?,positive,no,hi + hoga/hogi ,,
hi + hoga/hogi ,strong,teleological,?,positive,no,hi + hoga/hogi ,,
hi + hoga/hogi ,weak necessity,teleological,?,positive,no,hi + hoga/hogi ,,
hi + hoga/hogi ,weak,teleological,?,positive,no,hi + hoga/hogi ,,
hi + hoga/hogi ,strong,circumstantial,?,positive,no,hi + hoga/hogi ,,
hi + hoga/hogi ,weak,circumstantial,?,positive,no,hi + hoga/hogi ,,
hi + hoga/hogi ,strong,bouletic,1,positive,no,hi + hoga/hogi ,"this expression is recorded as hi hogi in elicitation, but I confirm with Hindi native speaker that the expression in bouletic and epistemic are identical",
