expression,force,flavor,can_express,polarity,syntactically_negated,full_form,notes
kell,strong,epistemic,1,positive,no,kell,auxiliary verb
kell,weak necessity,epistemic,?,positive,no,kell,
kell,weak,epistemic,?,positive,no,kell,
kell,strong,deontic,1,positive,no,kell,
kell,weak necessity,deontic,?,positive,no,kell,
kell,weak,deontic,?,positive,no,kell,
kell,strong,teleological,1,positive,no,kell,
kell,weak necessity,teleological,?,positive,no,kell,
kell,weak,teleological,?,positive,no,kell,
kell,strong,circumstantial,1,positive,no,kell,
kell,weak,circumstantial,?,positive,no,kell,
kell,strong,bouletic,1,positive,no,kell,
kell,strong,epistemic,?,negative,,,
kell,weak necessity,epistemic,?,negative,,,
kell,weak,epistemic,?,negative,,,
kell,strong,deontic,1,negative,high,NEG kell + [...],NEG surfaced as the word 'nem'
kell,weak necessity,deontic,?,negative,,,
kell,weak,deontic,?,negative,,,
kell,strong,teleological,1,negative,high,NEG kell + [...],NEG surfaced as the word 'nem'
kell,weak necessity,teleological,?,negative,,,
kell,weak,teleological,?,negative,,,
kell,strong,circumstantial,?,negative,,,
kell,weak,circumstantial,?,negative,,,
kell,strong,bouletic,?,negative,,,
kellne,strong,epistemic,?,positive,no,kellne,-ne is a conditional suffix that would combine with the auxilary verb kell
kellne,weak necessity,epistemic,?,positive,no,kellne,
kellne,weak,epistemic,?,positive,no,kellne,
kellne,strong,deontic,?,positive,no,kellne,
kellne,weak necessity,deontic,1,positive,no,kellne,
kellne,weak,deontic,?,positive,no,kellne,
kellne,strong,teleological,?,positive,no,kellne,
kellne,weak necessity,teleological,1,positive,no,kellne,
kellne,weak,teleological,?,positive,no,kellne,
kellne,strong,circumstantial,?,positive,no,kellne,
kellne,weak,circumstantial,?,positive,no,kellne,
kellne,strong,bouletic,?,positive,no,kellne,
muszáj,strong,epistemic,?,positive,no,muszáj,
muszáj,weak necessity,epistemic,?,positive,no,muszáj,
muszáj,weak,epistemic,?,positive,no,muszáj,
muszáj,strong,deontic,1,positive,no,muszáj,
muszáj,weak necessity,deontic,1,positive,no,muszáj,
muszáj,weak,deontic,?,positive,no,muszáj,
muszáj,strong,teleological,?,positive,no,muszáj,
muszáj,weak necessity,teleological,?,positive,no,muszáj,
