expression,force,flavor,can_express,polarity,syntactically_negated,full_form,notes,
ga-v-riri,strong,epistemic,1,positive,no,ga-v-riri,"Riri seems to have a different ordering source to ga by itself. ""We propose that -riri indicates that the worlds in the modal base are ordered with respect to consid- erations beyond normality"" - Mucha et al. 2023. It can appear independently, but tends to be in the form ga-v-RIRI",
ga-v-riri,weak necessity,epistemic,?,positive,no,ga-v-riri,"Riri seems to have a different ordering source to ga by itself. ""We propose that -riri indicates that the worlds in the modal base are ordered with respect to consid- erations beyond normality"" - Mucha et al. 2023. It can appear independently, but tends to be in the form ga-v-RIRI",
ga-v-riri,weak,epistemic,?,positive,no,ga-v-riri,"Riri seems to have a different ordering source to ga by itself. ""We propose that -riri indicates that the worlds in the modal base are ordered with respect to consid- erations beyond normality"" - Mucha et al. 2023. It can appear independently, but tends to be in the form ga-v-RIRI",
ga-v-riri,strong,deontic,1,positive,no,ga-v-riri,"Riri seems to have a different ordering source to ga by itself. ""We propose that -riri indicates that the worlds in the modal base are ordered with respect to consid- erations beyond normality"" - Mucha et al. 2023. It can appear independently, but tends to be in the form ga-v-RIRI",
ga-v-riri,weak necessity,deontic,?,positive,no,ga-v-riri,"Riri seems to have a different ordering source to ga by itself. ""We propose that -riri indicates that the worlds in the modal base are ordered with respect to consid- erations beyond normality"" - Mucha et al. 2023. It can appear independently, but tends to be in the form ga-v-RIRI",
ga-v-riri,weak,deontic,?,positive,no,ga-v-riri,"Riri seems to have a different ordering source to ga by itself. ""We propose that -riri indicates that the worlds in the modal base are ordered with respect to consid- erations beyond normality"" - Mucha et al. 2023. It can appear independently, but tends to be in the form ga-v-RIRI",
ga-v-riri,strong,teleological,1,positive,no,ga-v-riri,"Riri seems to have a different ordering source to ga by itself. ""We propose that -riri indicates that the worlds in the modal base are ordered with respect to consid- erations beyond normality"" - Mucha et al. 2023. It can appear independently, but tends to be in the form ga-v-RIRI",
ga-v-riri,weak necessity,teleological,?,positive,no,ga-v-riri,"Riri seems to have a different ordering source to ga by itself. ""We propose that -riri indicates that the worlds in the modal base are ordered with respect to consid- erations beyond normality"" - Mucha et al. 2023. It can appear independently, but tends to be in the form ga-v-RIRI",
ga-v-riri,weak,teleological,?,positive,no,ga-v-riri,"Riri seems to have a different ordering source to ga by itself. ""We propose that -riri indicates that the worlds in the modal base are ordered with respect to consid- erations beyond normality"" - Mucha et al. 2023. It can appear independently, but tends to be in the form ga-v-RIRI",
ga-v-riri,strong,circumstantial,1,positive,no,ga-v-riri,"Riri seems to have a different ordering source to ga by itself. ""We propose that -riri indicates that the worlds in the modal base are ordered with respect to consid- erations beyond normality"" - Mucha et al. 2023. It can appear independently, but tends to be in the form ga-v-RIRI",
ga-v-riri,weak,circumstantial,?,positive,no,ga-v-riri,"Riri seems to have a different ordering source to ga by itself. ""We propose that -riri indicates that the worlds in the modal base are ordered with respect to consid- erations beyond normality"" - Mucha et al. 2023. It can appear independently, but tends to be in the form ga-v-RIRI",
ga-v-riri,strong,bouletic,1,positive,no,ga-v-riri,"Riri seems to have a different ordering source to ga by itself. ""We propose that -riri indicates that the worlds in the modal base are ordered with respect to consid- erations beyond normality"" - Mucha et al. 2023. It can appear independently, but tends to be in the form ga-v-RIRI",
(e)kwesiri,strong,epistemic,?,positive,no,(e)kwesiri,Occasional (e) epenthesis,
(e)kwesiri,weak necessity,epistemic,1,positive,no,(e)kwesiri,Occasional (e) epenthesis,
(e)kwesiri,weak,epistemic,?,positive,no,(e)kwesiri,Occasional (e) epenthesis,
(e)kwesiri,strong,deontic,?,positive,no,(e)kwesiri,Occasional (e) epenthesis,
(e)kwesiri,weak necessity,deontic,1,positive,no,(e)kwesiri,Occasional (e) epenthesis,
(e)kwesiri,weak,deontic,?,positive,no,(e)kwesiri,Occasional (e) epenthesis,
(e)kwesiri,strong,teleological,?,positive,no,(e)kwesiri,Occasional (e) epenthesis,
(e)kwesiri,weak necessity,teleological,1,positive,no,(e)kwesiri,Occasional (e) epenthesis,
(e)kwesiri,weak,teleological,?,positive,no,(e)kwesiri,Occasional (e) epenthesis,
(e)kwesiri,strong,circumstantial,1,positive,no,(e)kwesiri,Occasional (e) epenthesis,
(e)kwesiri,weak,circumstantial,?,positive,no,(e)kwesiri,Occasional (e) epenthesis,
(e)kwesiri,strong,bouletic,?,positive,no,(e)kwesiri,Occasional (e) epenthesis,
Nwe-rV ike,strong,epistemic,?,positive,no,nwe-re ike,"Literally means ""Have strength"" - but is lexicalised into a modal expressing possibility. rV is used because the vowel is dependent on the environment; vowel harmony. ",
Nwe-rV ike,weak necessity,epistemic,?,positive,no,nwe-re ike,"Literally means ""Have strength"" - but is lexicalised into a modal expressing possibility. rV is used because the vowel is dependent on the environment; vowel harmony. ",
Nwe-rV ike,weak,epistemic,1,positive,no,nwe-re ike,"Literally means ""Have strength"" - but is lexicalised into a modal expressing possibility. rV is used because the vowel is dependent on the environment; vowel harmony. ",
Nwe-rV ike,strong,deontic,?,positive,no,nwe-re ike,"Literally means ""Have strength"" - but is lexicalised into a modal expressing possibility. rV is used because the vowel is dependent on the environment; vowel harmony. ",
Nwe-rV ike,weak necessity,deontic,?,positive,no,nwe-re ike,"Literally means ""Have strength"" - but is lexicalised into a modal expressing possibility. rV is used because the vowel is dependent on the environment; vowel harmony. ",
Nwe-rV ike,weak,deontic,1,positive,no,nwe-re ike,"Literally means ""Have strength"" - but is lexicalised into a modal expressing possibility. rV is used because the vowel is dependent on the environment; vowel harmony. ",
Nwe-rV ike,strong,teleological,?,positive,no,nwe-re ike,"Literally means ""Have strength"" - but is lexicalised into a modal expressing possibility. rV is used because the vowel is dependent on the environment; vowel harmony. ",
Nwe-rV ike,weak necessity,teleological,?,positive,no,nwe-re ike,"Literally means ""Have strength"" - but is lexicalised into a modal expressing possibility. rV is used because the vowel is dependent on the environment; vowel harmony. ",
Nwe-rV ike,weak,teleological,1,positive,no,nwe-re ike,"Literally means ""Have strength"" - but is lexicalised into a modal expressing possibility. rV is used because the vowel is dependent on the environment; vowel harmony. ",
Nwe-rV ike,strong,circumstantial,?,positive,no,nwe-re ike,"Literally means ""Have strength"" - but is lexicalised into a modal expressing possibility. rV is used because the vowel is dependent on the environment; vowel harmony. ",
Nwe-rV ike,weak,circumstantial,1,positive,no,nwe-re ike,"Literally means ""Have strength"" - but is lexicalised into a modal expressing possibility. rV is used because the vowel is dependent on the environment; vowel harmony. ",
Nwe-rV ike,strong,bouletic,?,positive,no,nwe-re ike,"Literally means ""Have strength"" - but is lexicalised into a modal expressing possibility. rV is used because the vowel is dependent on the environment; vowel harmony. ",
ga-v-ni,strong,epistemic,?,positive,no,ga-v-ni,"""We propose that -ni has a meaning similar to the predicate ABLE proposed in Bhatt (2006). Accord- ing to Bhatt, ABLE gives rise to actuality entailments since it has implicative meaning. Only when ABLE combines with a modal operator (which is covert in English), a modal meaning of ability attribution arises. We propose that ga is an overt instantiation of this modal operator in Igbo."" - Mucha et al. 2023",
ga-v-ni,weak necessity,epistemic,?,positive,no,ga-v-ni,"""We propose that -ni has a meaning similar to the predicate ABLE proposed in Bhatt (2006). Accord- ing to Bhatt, ABLE gives rise to actuality entailments since it has implicative meaning. Only when ABLE combines with a modal operator (which is covert in English), a modal meaning of ability attribution arises. We propose that ga is an overt instantiation of this modal operator in Igbo."" - Mucha et al. 2023",
ga-v-ni,weak,epistemic,0,positive,no,ga-v-ni,"""We propose that -ni has a meaning similar to the predicate ABLE proposed in Bhatt (2006). Accord- ing to Bhatt, ABLE gives rise to actuality entailments since it has implicative meaning. Only when ABLE combines with a modal operator (which is covert in English), a modal meaning of ability attribution arises. We propose that ga is an overt instantiation of this modal operator in Igbo."" - Mucha et al. 2023",
