expression,force,flavor,can_express,notes
mesthi,weak,epistemic,0,
mesthi,weak,deontic,0,
mesthi,weak,circumstantial,0,
mesthi,weak,teleological,?,
mesthi,weak,bouletic,?,
mesthi,strong,epistemic,1,
mesthi,strong,deontic,0,
mesthi,strong,circumstantial,0,
mesthi,strong,teleological,?,
mesthi,strong,bouletic,?,
mesthi,weak necessity,epistemic,0,
mesthi,weak necessity,deontic,0,
mesthi,weak necessity,circumstantial,0,
mesthi,weak necessity,teleological,0,
mesthi,weak necessity,bouletic,0,
mesthi-ne,weak necessity,epistemic,1,
mesthi-ne,weak necessity,deontic,0,
mesthi-ne,weak necessity,circumstantial,0,
mesthi-ne,weak necessity,teleological,?,
mesthi-ne,weak necessity,bouletic,?,
mesthi-ne,weak,epistemic,0,
mesthi-ne,weak,deontic,0,
mesthi-ne,weak,circumstantial,0,
mesthi-ne,weak,teleological,0,
mesthi-ne,weak,bouletic,0,
mesthi-ne,strong,epistemic,0,
mesthi-ne,strong,deontic,0,
mesthi-ne,strong,circumstantial,0,
mesthi-ne,strong,teleological,0,
mesthi-ne,strong,bouletic,0,
paleng,weak,epistemic,1,
paleng,weak,deontic,?,
paleng,weak,circumstantial,0,
paleng,weak,teleological,?,
paleng,weak,bouletic,?,
paleng,strong,epistemic,0,"may also express this, but Vander Klok argues that it's due to cultural differences in pragmatic stengthening"
paleng,strong,deontic,?,
paleng,strong,circumstantial,0,
paleng,strong,teleological,?,
paleng,strong,bouletic,?,
paleng,weak necessity,epistemic,0,
paleng,weak necessity,deontic,0,
paleng,weak necessity,circumstantial,0,
paleng,weak necessity,teleological,0,
paleng,weak necessity,bouletic,0,
oleh,weak,epistemic,0,
oleh,weak,deontic,1,
oleh,weak,circumstantial,0,
oleh,weak,teleological,?,
oleh,weak,bouletic,?,
oleh,strong,epistemic,0,
oleh,strong,deontic,0,
oleh,strong,circumstantial,0,
oleh,strong,teleological,?,
oleh,strong,bouletic,?,
oleh,weak necessity,epistemic,0,
oleh,weak necessity,deontic,0,
oleh,weak necessity,circumstantial,0,
oleh,weak necessity,teleological,0,
oleh,weak necessity,bouletic,0,
iso,weak,epistemic,0,
iso,weak,deontic,0,
iso,weak,circumstantial,1,
iso,weak,teleological,?,
iso,weak,bouletic,?,
iso,strong,epistemic,0,
iso,strong,deontic,0,
iso,strong,circumstantial,0,
iso,strong,teleological,?,
iso,strong,bouletic,?,
iso,weak necessity,epistemic,0,
iso,weak necessity,deontic,0,
iso,weak necessity,circumstantial,0,
iso,weak necessity,teleological,0,
iso,weak necessity,bouletic,0,
kudu1,weak,epistemic,0,
kudu1,weak,deontic,0,
kudu1,weak,circumstantial,0,
kudu1,weak,teleological,0,
kudu1,weak,bouletic,0,
kudu1,strong,epistemic,0,
kudu1,strong,deontic,1,
kudu1,strong,circumstantial,1,
kudu1,strong,teleological,1,
kudu1,strong,bouletic,0,
kudu1,weak necessity,epistemic,0,
kudu1,weak necessity,deontic,0,
kudu1,weak necessity,circumstantial,0,
kudu1,weak necessity,teleological,0,
kudu1,weak necessity,bouletic,0,
kudu1-ne,weak,epistemic,0,
kudu1-ne,weak,deontic,0,
kudu1-ne,weak,circumstantial,0,
kudu1-ne,weak,teleological,0,
kudu1-ne,weak,bouletic,0,
kudu1-ne,strong,epistemic,0,
kudu1-ne,strong,deontic,0,
kudu1-ne,strong,circumstantial,0,
kudu1-ne,strong,teleological,0,
kudu1-ne,strong,bouletic,0,
kudu1-ne,weak necessity,epistemic,0,
kudu1-ne,weak necessity,deontic,1,
kudu1-ne,weak necessity,circumstantial,1,
kudu1-ne,weak necessity,teleological,1,
kudu1-ne,weak necessity,bouletic,0,
kudu2,weak,epistemic,0,
kudu2,weak,deontic,0,
kudu2,weak,circumstantial,0,
kudu2,weak,teleological,0,
kudu2,weak,bouletic,0,
kudu2,strong,epistemic,0,
kudu2,strong,deontic,0,
kudu2,strong,circumstantial,0,
kudu2,strong,teleological,0,
kudu2,strong,bouletic,1,
kudu2,weak necessity,epistemic,0,
kudu2,weak necessity,deontic,0,
kudu2,weak necessity,circumstantial,0,
kudu2,weak necessity,teleological,0,
kudu2,weak necessity,bouletic,0,
