expression,force,flavor,can_express,polarity,syntactically_negated,full_form,notes
mwanka,strong,epistemic,1,positive,no,n'wa mwanka,"n'wa is a focus marker that occurs in positive contexts, the relation betwen n'wa and mwanka is unclear"
mwanka,weak necessity,epistemic,?,positive,no,n'wa mwanka,
mwanka,weak,epistemic,?,positive,no,n'wa mwanka,
mwanka,strong,deontic,1,positive,no,n'wa mwanka,
mwanka,weak necessity,deontic,?,positive,no,n'wa mwanka,
mwanka,weak,deontic,?,positive,no,n'wa mwanka,
mwanka,strong,teleological,1,positive,no,n'wa mwanka,
mwanka,weak necessity,teleological,?,positive,no,n'wa mwanka,
mwanka,weak,teleological,?,positive,no,n'wa mwanka,
mwanka,strong,circumstantial,1,positive,no,n'wa mwanka,
mwanka,weak,circumstantial,?,positive,no,n'wa mwanka,
mwanka,strong,bouletic,1,positive,no,n'wa mwanka,
mwanka,strong,epistemic,1,negative,yes,t'wa mwanka,
mwanka,weak necessity,epistemic,?,negative,yes,t'wa mwanka,
mwanka,weak,epistemic,?,negative,yes,t'wa mwanka,
mwanka,strong,deontic,1,negative,yes,t'wa mwanka,
mwanka,weak necessity,deontic,?,negative,yes,t'wa mwanka,
mwanka,weak,deontic,?,negative,yes,t'wa mwanka,
mwanka,strong,teleological,1,negative,yes,t'wa mwanka,
mwanka,weak necessity,teleological,?,negative,yes,t'wa mwanka,
mwanka,weak,teleological,?,negative,yes,t'wa mwanka,
mwanka,strong,circumstantial,1,negative,yes,t'wa mwanka,
mwanka,weak,circumstantial,?,negative,yes,t'wa mwanka,
mwanka,strong,bouletic,?,negative,yes,t'wa mwanka,
perfective aspect,strong,epistemic,?,positive,no,n'wa + perf,the author noted it is not clear whether perfective could occur under epistemic
perfective aspect,weak necessity,epistemic,?,positive,no,n'wa + perf,
perfective aspect,weak,epistemic,?,positive,no,n'wa + perf,
perfective aspect,strong,deontic,?,positive,no,n'wa + perf,the author noted it is not clear whether perfective could occur under deontic
perfective aspect,weak necessity,deontic,?,positive,no,n'wa + perf,
perfective aspect,weak,deontic,?,positive,no,n'wa + perf,
perfective aspect,strong,teleological,1,positive,no,n'wa + perf,
perfective aspect,weak necessity,teleological,?,positive,no,n'wa + perf,
perfective aspect,weak,teleological,?,positive,no,n'wa + perf,
perfective aspect,strong,circumstantial,1,positive,no,n'wa + perf,
perfective aspect,weak,circumstantial,?,positive,no,n'wa + perf,
perfective aspect,strong,bouletic,1,positive,no,n'wa + perf,
wîgue,strong,epistemic,?,positive,no,n'wa wîgue,it is translated as 'be'/'likely'
wîgue,weak necessity,epistemic,1,positive,no,n'wa wîgue,
wîgue,weak,epistemic,1,positive,no,n'wa wîgue,
wîgue,strong,deontic,?,positive,no,n'wa wîgue,
wîgue,weak necessity,deontic,?,positive,no,n'wa wîgue,
wîgue,weak,deontic,?,positive,no,n'wa wîgue,
wîgue,strong,teleological,?,positive,no,n'wa wîgue,
wîgue,weak necessity,teleological,?,positive,no,n'wa wîgue,
wîgue,weak,teleological,?,positive,no,n'wa wîgue,
wîgue,strong,circumstantial,?,positive,no,n'wa wîgue,
wîgue,weak,circumstantial,?,positive,no,n'wa wîgue,
wîgue,strong,bouletic,?,positive,no,n'wa wîgue,
ûmba,strong,epistemic,?,positive,no,n'wa ûmba,
ûmba,weak necessity,epistemic,1,positive,no,n'wa ûmba,
ûmba,weak,epistemic,0,positive,no,n'wa ûmba,
ûmba,strong,deontic,?,positive,no,n'wa ûmba,
ûmba,weak necessity,deontic,?,positive,no,n'wa ûmba,the author noted it is not clear if it could be used here
ûmba,weak,deontic,?,positive,no,n'wa ûmba,
ûmba,strong,teleological,?,positive,no,n'wa ûmba,
ûmba,weak necessity,teleological,?,positive,no,n'wa ûmba,the author noted it is not clear if it could be used here
ûmba,weak,teleological,?,positive,no,n'wa ûmba,
ûmba,strong,circumstantial,?,positive,no,n'wa ûmba,
ûmba,weak,circumstantial,?,positive,no,n'wa ûmba,
ûmba,strong,bouletic,?,positive,no,n'wa ûmba,
ûmba,strong,epistemic,?,negative,yes,ti ûmba,
ûmba,weak necessity,epistemic,?,negative,yes,ti ûmba,
ûmba,weak,epistemic,1,negative,yes,ti ûmba,
ûmba,strong,deontic,?,negative,yes,ti ûmba,
ûmba,weak necessity,deontic,?,negative,yes,ti ûmba,
ûmba,weak,deontic,?,negative,yes,ti ûmba,
ûmba,strong,teleological,?,negative,yes,ti ûmba,
ûmba,weak necessity,teleological,?,negative,yes,ti ûmba,
ûmba,weak,teleological,1,negative,yes,ti ûmba,
ûmba,strong,circumstantial,?,negative,yes,ti ûmba,
ûmba,weak,circumstantial,1,negative,yes,ti ûmba,
ûmba,strong,bouletic,?,negative,yes,ti ûmba,
batîîr-i,strong,epistemic,?,positive,no,batîîr-i,"batîîr means 'require', -i is a normalizer"
batîîr-i,weak necessity,epistemic,?,positive,no,batîîr-i,
batîîr-i,weak,epistemic,?,positive,no,batîîr-i,
batîîr-i,strong,deontic,?,positive,no,batîîr-i,
batîîr-i,weak necessity,deontic,1,positive,no,batîîr-i,
batîîr-i,weak,deontic,?,positive,no,batîîr-i,
batîîr-i,strong,teleological,?,positive,no,batîîr-i,
batîîr-i,weak necessity,teleological,?,positive,no,batîîr-i,
batîîr-i,weak,teleological,?,positive,no,batîîr-i,
batîîr-i,strong,circumstantial,?,positive,no,batîîr-i,
batîîr-i,weak,circumstantial,?,positive,no,batîîr-i,
batîîr-i,strong,bouletic,?,positive,no,batîîr-i,
n+verb,strong,epistemic,?,positive,no,n+verb,"n is the focus marker, this is different from n'wa, which is n+wa"
n+verb,weak necessity,epistemic,?,positive,no,n+verb,
n+verb,weak,epistemic,?,positive,no,n+verb,
n+verb,strong,deontic,?,positive,no,n+verb,
n+verb,weak necessity,deontic,?,positive,no,n+verb,
n+verb,weak,deontic,?,positive,no,n+verb,
n+verb,strong,teleological,?,positive,no,n+verb,
n+verb,weak necessity,teleological,1,positive,no,n+verb,
n+verb,weak,teleological,?,positive,no,n+verb,
n+verb,strong,circumstantial,?,positive,no,n+verb,
n+verb,weak,circumstantial,?,positive,no,n+verb,
n+verb,strong,bouletic,?,positive,no,n+verb,
ti+verb,strong,epistemic,?,negative,yes,ti+verb,ti is the negation 
ti+verb,weak necessity,epistemic,?,negative,yes,ti+verb,
ti+verb,weak,epistemic,?,negative,yes,ti+verb,
ti+verb,strong,deontic,?,negative,yes,ti+verb,
