expression,force,flavor,can_express,polarity,syntactically_negated,full_form,notes
-napo-,strong,epistemic,1,positive,no,V + napo-ta,
-napo-,weak necessity,epistemic,?,positive,no,V + napo-ta,
-napo-,weak,epistemic,?,positive,no,V + napo-ta,
-napo-,strong,deontic,?,positive,no,V + napo-ta,
-napo-,weak necessity,deontic,?,positive,no,V + napo-ta,
-napo-,weak,deontic,?,positive,no,V + napo-ta,
-napo-,strong,teleological,?,positive,no,V + napo-ta,
-napo-,weak necessity,teleological,?,positive,no,V + napo-ta,
-napo-,weak,teleological,?,positive,no,V + napo-ta,
-napo-,strong,circumstantial,?,positive,no,V + napo-ta,
-napo-,weak,circumstantial,?,positive,no,V + napo-ta,
-napo-,strong,bouletic,?,positive,no,V + napo-ta,
-keyss-,strong,epistemic,1,positive,no,V + keyss-ta,likely an evidential
-keyss-,weak necessity,epistemic,1,positive,no,V + keyss-ta,
-keyss-,weak,epistemic,?,positive,no,V + keyss-ta,
-keyss-,strong,deontic,?,positive,no,V + keyss-ta,
-keyss-,weak necessity,deontic,?,positive,no,V + keyss-ta,
-keyss-,weak,deontic,?,positive,no,V + keyss-ta,
-keyss-,strong,teleological,?,positive,no,V + keyss-ta,
-keyss-,weak necessity,teleological,?,positive,no,V + keyss-ta,
-keyss-,weak,teleological,?,positive,no,V + keyss-ta,
-keyss-,strong,circumstantial,?,positive,no,V + keyss-ta,
-keyss-,weak,circumstantial,?,positive,no,V + keyss-ta,
-keyss-,strong,bouletic,?,positive,no,V + keyss-ta,
-ya + ha-,strong,epistemic,?,positive,no,V-ya ha-...-ta,
-ya + ha-,weak necessity,epistemic,?,positive,no,V-ya ha-...-ta,
-ya + ha-,weak,epistemic,?,positive,no,V-ya ha-...-ta,
-ya + ha-,strong,deontic,1,positive,no,V-ya ha-...-ta,
-ya + ha-,weak necessity,deontic,1,positive,no,V-ya ha-...-ta,
-ya + ha-,weak,deontic,?,positive,no,V-ya ha-...-ta,
-ya + ha-,strong,teleological,1,positive,no,V-ya ha-...-ta,
-ya + ha-,weak necessity,teleological,?,positive,no,V-ya ha-...-ta,
-ya + ha-,weak,teleological,?,positive,no,V-ya ha-...-ta,
-ya + ha-,strong,circumstantial,1,positive,no,V-ya ha-...-ta,
-ya + ha-,weak,circumstantial,?,positive,no,V-ya ha-...-ta,
-ya + ha-,strong,bouletic,?,positive,no,V-ya ha-...-ta,
-ko + siph-,strong,epistemic,?,positive,no,V-ko siph-ta,
-ko + siph-,weak necessity,epistemic,?,positive,no,V-ko siph-ta,
-ko + siph-,weak,epistemic,?,positive,no,V-ko siph-ta,
-ko + siph-,strong,deontic,?,positive,no,V-ko siph-ta,
-ko + siph-,weak necessity,deontic,?,positive,no,V-ko siph-ta,
-ko + siph-,weak,deontic,?,positive,no,V-ko siph-ta,
-ko + siph-,strong,teleological,?,positive,no,V-ko siph-ta,
-ko + siph-,weak necessity,teleological,?,positive,no,V-ko siph-ta,
-ko + siph-,weak,teleological,?,positive,no,V-ko siph-ta,
-ko + siph-,strong,circumstantial,?,positive,no,V-ko siph-ta,
-ko + siph-,weak,circumstantial,?,positive,no,V-ko siph-ta,
-ko + siph-,strong,bouletic,1,positive,no,V-ko siph-ta,
ke-,strong,epistemic,?,positive,no,V + ke-ta,
ke-,weak necessity,epistemic,1,positive,no,V + ke-ta,
ke-,weak,epistemic,?,positive,no,V + ke-ta,
ke-,strong,deontic,?,positive,no,V + ke-ta,
ke-,weak necessity,deontic,?,positive,no,V + ke-ta,
ke-,weak,deontic,?,positive,no,V + ke-ta,
ke-,strong,teleological,?,positive,no,V + ke-ta,
ke-,weak necessity,teleological,?,positive,no,V + ke-ta,
ke-,weak,teleological,?,positive,no,V + ke-ta,
ke-,strong,circumstantial,?,positive,no,V + ke-ta,
ke-,weak,circumstantial,?,positive,no,V + ke-ta,
ke-,strong,bouletic,?,positive,no,V + ke-ta,
they-,strong,epistemic,?,positive,no,V + they-n-tey,
they-,weak necessity,epistemic,1,positive,no,V + they-n-tey,
they-,weak,epistemic,?,positive,no,V + they-n-tey,
they-,strong,deontic,?,positive,no,V + they-n-tey,
they-,weak necessity,deontic,?,positive,no,V + they-n-tey,
they-,weak,deontic,?,positive,no,V + they-n-tey,
they-,strong,teleological,?,positive,no,V + they-n-tey,
they-,weak necessity,teleological,?,positive,no,V + they-n-tey,
they-,weak,teleological,?,positive,no,V + they-n-tey,
they-,strong,circumstantial,?,positive,no,V + they-n-tey,
they-,weak,circumstantial,?,positive,no,V + they-n-tey,
they-,strong,bouletic,?,positive,no,V + they-n-tey,
-ya + keyss-,strong,epistemic,?,positive,no,V-ya + keyss-ta,
-ya + keyss-,weak necessity,epistemic,?,positive,no,V-ya + keyss-ta,
-ya + keyss-,weak,epistemic,?,positive,no,V-ya + keyss-ta,
-ya + keyss-,strong,deontic,?,positive,no,V-ya + keyss-ta,
-ya + keyss-,weak necessity,deontic,1,positive,no,V-ya + keyss-ta,
-ya + keyss-,weak,deontic,?,positive,no,V-ya + keyss-ta,
-ya + keyss-,strong,teleological,?,positive,no,V-ya + keyss-ta,
-ya + keyss-,weak necessity,teleological,?,positive,no,V-ya + keyss-ta,
-ya + keyss-,weak,teleological,?,positive,no,V-ya + keyss-ta,
-ya + keyss-,strong,circumstantial,?,positive,no,V-ya + keyss-ta,
-ya + keyss-,weak,circumstantial,?,positive,no,V-ya + keyss-ta,
-ya + keyss-,strong,bouletic,?,positive,no,V-ya + keyss-ta,
kes.i-coh-,strong,epistemic,?,positive,no,clause + kes.i-coh-ta,"""Would be good"" paraphrase"
kes.i-coh-,weak necessity,epistemic,?,positive,no,clause + kes.i-coh-ta,
kes.i-coh-,weak,epistemic,?,positive,no,clause + kes.i-coh-ta,
kes.i-coh-,strong,deontic,?,positive,no,clause + kes.i-coh-ta,
kes.i-coh-,weak necessity,deontic,?,positive,no,clause + kes.i-coh-ta,
kes.i-coh-,weak,deontic,?,positive,no,clause + kes.i-coh-ta,
kes.i-coh-,strong,teleological,?,positive,no,clause + kes.i-coh-ta,
kes.i-coh-,weak necessity,teleological,1,positive,no,clause + kes.i-coh-ta,
kes.i-coh-,weak,teleological,?,positive,no,clause + kes.i-coh-ta,
kes.i-coh-,strong,circumstantial,?,positive,no,clause + kes.i-coh-ta,
kes.i-coh-,weak,circumstantial,?,positive,no,clause + kes.i-coh-ta,
kes.i-coh-,strong,bouletic,?,positive,no,clause + kes.i-coh-ta,
ci(-to) molun-,strong,epistemic,?,positive,no,clause + ci-to molun-ta,"inchoative ""not known"" paraphrase according to consultant "
ci(-to) molun-,weak necessity,epistemic,?,positive,no,clause + ci-to molun-ta,
ci(-to) molun-,weak,epistemic,1,positive,no,clause + ci-to molun-ta,
ci(-to) molun-,strong,deontic,?,positive,no,clause + ci-to molun-ta,
ci(-to) molun-,weak necessity,deontic,?,positive,no,clause + ci-to molun-ta,
ci(-to) molun-,weak,deontic,?,positive,no,clause + ci-to molun-ta,
ci(-to) molun-,strong,teleological,?,positive,no,clause + ci-to molun-ta,
ci(-to) molun-,weak necessity,teleological,?,positive,no,clause + ci-to molun-ta,
ci(-to) molun-,weak,teleological,?,positive,no,clause + ci-to molun-ta,
ci(-to) molun-,strong,circumstantial,?,positive,no,clause + ci-to molun-ta,
ci(-to) molun-,weak,circumstantial,?,positive,no,clause + ci-to molun-ta,
ci(-to) molun-,strong,bouletic,?,positive,no,clause + ci-to molun-ta,
swu(-to) iss-,strong,epistemic,?,positive,no,clause + swu(-to) iss-...-ta,"""is a possibility"" paraphrase"
swu(-to) iss-,weak necessity,epistemic,?,positive,no,clause + swu(-to) iss-...-ta,
swu(-to) iss-,weak,epistemic,1,positive,no,clause + swu(-to) iss-...-ta,
swu(-to) iss-,strong,deontic,?,positive,no,clause + swu(-to) iss-...-ta,
swu(-to) iss-,weak necessity,deontic,?,positive,no,clause + swu(-to) iss-...-ta,
swu(-to) iss-,weak,deontic,?,positive,no,clause + swu(-to) iss-...-ta,
swu(-to) iss-,strong,teleological,?,positive,no,clause + swu(-to) iss-...-ta,
swu(-to) iss-,weak necessity,teleological,?,positive,no,clause + swu(-to) iss-...-ta,
swu(-to) iss-,weak,teleological,?,positive,no,clause + swu(-to) iss-...-ta,
swu(-to) iss-,strong,circumstantial,?,positive,no,clause + swu(-to) iss-...-ta,
swu(-to) iss-,weak,circumstantial,1,positive,no,clause + swu(-to) iss-...-ta,
swu(-to) iss-,strong,bouletic,?,positive,no,clause + swu(-to) iss-...-ta,
-to + toy-,strong,epistemic,?,positive,no,V-to toy-...-ta,
-to + toy-,weak necessity,epistemic,?,positive,no,V-to toy-...-ta,
-to + toy-,weak,epistemic,?,positive,no,V-to toy-...-ta,
-to + toy-,strong,deontic,?,positive,no,V-to toy-...-ta,
-to + toy-,strong,deontic,1,negative,yes,V-to toy-...-ta,
-to + toy-,weak necessity,deontic,?,positive,no,V-to toy-...-ta,
-to + toy-,weak,deontic,1,positive,no,V-to toy-...-ta,
-to + toy-,strong,teleological,?,positive,no,V-to toy-...-ta,
-to + toy-,weak necessity,teleological,?,positive,no,V-to toy-...-ta,
-to + toy-,weak,teleological,1,positive,no,V-to toy-...-ta,
-to + toy-,strong,circumstantial,?,positive,no,V-to toy-...-ta,
-to + toy-,weak,circumstantial,?,positive,no,V-to toy-...-ta,
-to + toy-,strong,bouletic,?,positive,no,V-to toy-...-ta,
philyo- eps-,strong,epistemic,1,negative,yes,philyo-NUN eps-...-ta,"""NONEX necessity"" paraphrase"
philyo- eps-,weak necessity,epistemic,?,negative,yes,,
philyo- eps-,weak,epistemic,?,negative,yes,,
philyo- eps-,strong,deontic,1,negative,yes,philyo-TUN eps-...ta,"""NEG necessary"" paraphrase"
philyo- eps-,weak necessity,deontic,?,negative,yes,,
philyo- eps-,weak,deontic,?,negative,yes,,
philyo- eps-,strong,teleological,1,negative,yes,philyo-NUN eps-...-ta,"""NONEX necessity"" paraphrase"
philyo- eps-,weak necessity,teleological,?,negative,yes,,
philyo- eps-,weak,teleological,?,negative,yes,,
philyo- eps-,strong,circumstantial,?,negative,yes,,
philyo- eps-,weak,circumstantial,?,negative,yes,,
philyo- eps-,strong,bouletic,?,negative,yes,,
li-ka eps-,strong,epistemic,?,negative,yes,li-ka eps-...-ta,
li-ka eps-,weak necessity,epistemic,?,negative,yes,li-ka eps-...-ta,
li-ka eps-,weak,epistemic,1,negative,yes,li-ka eps-...-ta,
li-ka eps-,strong,deontic,?,negative,yes,li-ka eps-...-ta,
li-ka eps-,weak necessity,deontic,?,negative,yes,li-ka eps-...-ta,
li-ka eps-,weak,deontic,?,negative,yes,li-ka eps-...-ta,
li-ka eps-,strong,teleological,?,negative,yes,li-ka eps-...-ta,
li-ka eps-,weak necessity,teleological,?,negative,yes,li-ka eps-...-ta,
