,expression,force,flavor,can_express,polarity,syntactically_negated,full_form,notes
0,müleyafuy may,strong,epistemic,1,positive,no,müleyafuy may,
1,müleyafuy may,weak necessity,epistemic,?,positive,no,müleyafuy may,
2,müleyafuy may,weak,epistemic,?,positive,no,müleyafuy may,
3,müleyafuy may,strong,deontic,?,positive,no,müleyafuy may,
4,müleyafuy may,weak necessity,deontic,?,positive,no,müleyafuy may,
5,müleyafuy may,weak,deontic,?,positive,no,müleyafuy may,
6,müleyafuy may,weak,deontic,?,positive,no,müleyafuy may,
7,müleyafuy may,strong,teleological,?,positive,no,müleyafuy may,
8,müleyafuy may,weak necessity,teleological,?,positive,no,müleyafuy may,
9,müleyafuy may,weak,teleological,?,positive,no,müleyafuy may,
10,müleyafuy may,strong,circumstantial,?,positive,no,müleyafuy may,
11,müleyafuy may,weak,circumstantial,?,positive,no,müleyafuy may,
12,müleyafuy may,strong,bouletic,?,positive,no,müleyafuy may,
13,-pelayafuy,strong,epistemic,?,positive,no,V-pelayafuy,
14,-pelayafuy,weak necessity,epistemic,1,positive,no,V-pelayafuy,
15,-pelayafuy,weak,epistemic,1,positive,no,V-pelayafuy,
16,-pelayafuy,strong,deontic,?,positive,no,V-pelayafuy,
17,-pelayafuy,strong,deontic,?,positive,no,V-pelayafuy,
18,-pelayafuy,weak necessity,deontic,?,positive,no,V-pelayafuy,
19,-pelayafuy,weak,deontic,?,positive,no,V-pelayafuy,
20,-pelayafuy,strong,teleological,?,positive,no,V-pelayafuy,
21,-pelayafuy,weak necessity,teleological,?,positive,no,V-pelayafuy,
22,-pelayafuy,weak,teleological,?,positive,no,V-pelayafuy,
23,-pelayafuy,strong,circumstantial,?,positive,no,V-pelayafuy,
24,-pelayafuy,weak,circumstantial,?,positive,no,V-pelayafuy,
25,-pelayafuy,strong,bouletic,?,positive,no,V-pelayafuy,
26,müleyafuy kam,strong,epistemic,?,positive,no,müleyafuy kam + [...] + chi,
27,müleyafuy kam,weak necessity,epistemic,?,positive,no,müleyafuy kam + [...] + chi,
28,müleyafuy kam,weak,epistemic,1,positive,no,müleyafuy kam + [...] + chi,
29,müleyafuy kam,strong,deontic,?,positive,no,müleyafuy kam + [...] + chi,
30,müleyafuy kam,weak necessity,deontic,?,positive,no,müleyafuy kam + [...] + chi,
31,müleyafuy kam,weak,deontic,?,positive,no,müleyafuy kam + [...] + chi,
32,müleyafuy kam,strong,teleological,?,positive,no,müleyafuy kam + [...] + chi,
33,müleyafuy kam,weak necessity,teleological,?,positive,no,müleyafuy kam + [...] + chi,
34,müleyafuy kam,weak,teleological,?,positive,no,müleyafuy kam + [...] + chi,
35,müleyafuy kam,strong,circumstantial,?,positive,no,müleyafuy kam + [...] + chi,
36,müleyafuy kam,weak,circumstantial,?,positive,no,müleyafuy kam + [...] + chi,
37,müleyafuy kam,strong,bouletic,?,positive,no,müleyafuy kam + [...] + chi,
38,pepi-_-afu,strong,epistemic,?,positive,no,pepi-V-(y)afu-CONJ,
39,pepi-_-afu,weak necessity,epistemic,?,positive,no,pepi-V-(y)afu-CONJ,
40,pepi-_-afu,weak,epistemic,1,positive,no,pepi-V-(y)afu-CONJ,
41,pepi-_-afu,strong,deontic,?,positive,no,pepi-V-(y)afu-CONJ,
42,pepi-_-afu,weak necessity,deontic,?,positive,no,pepi-V-(y)afu-CONJ,
43,pepi-_-afu,weak,deontic,?,positive,no,pepi-V-(y)afu-CONJ,
44,pepi-_-afu,strong,teleological,?,positive,no,pepi-V-(y)afu-CONJ,
45,pepi-_-afu,weak necessity,teleological,?,positive,no,pepi-V-(y)afu-CONJ,
46,pepi-_-afu,weak,teleological,?,positive,no,pepi-V-(y)afu-CONJ,
47,pepi-_-afu,strong,circumstantial,?,positive,no,pepi-V-(y)afu-CONJ,
48,pepi-_-afu,weak,circumstantial,1,positive,no,pepi-V-(y)afu-CONJ,
49,pepi-_-afu,strong,bouletic,?,positive,no,pepi-V-(y)afu-CONJ,
50,müle-la-CONJ-chi,strong,epistemic,1,negative,high,müle-la-CONJ-chi,-la- is a negation infix
51,müle-la-CONJ-chi,weak necessity,epistemic,?,negative,high,müle-la-CONJ-chi,
52,müle-la-CONJ-chi,weak,epistemic,?,negative,high,müle-la-CONJ-chi,
53,müle-la-CONJ-chi,strong,deontic,?,negative,high,müle-la-CONJ-chi,
54,müle-la-CONJ-chi,weak necessity,deontic,?,negative,high,müle-la-CONJ-chi,
55,müle-la-CONJ-chi,weak,deontic,?,negative,high,müle-la-CONJ-chi,
56,müle-la-CONJ-chi,weak,deontic,?,negative,high,müle-la-CONJ-chi,
57,müle-la-CONJ-chi,strong,teleological,?,negative,high,müle-la-CONJ-chi,
58,müle-la-CONJ-chi,weak necessity,teleological,?,negative,high,müle-la-CONJ-chi,
59,müle-la-CONJ-chi,weak,teleological,?,negative,high,müle-la-CONJ-chi,
60,müle-la-CONJ-chi,weak,teleological,?,negative,high,müle-la-CONJ-chi,
61,müle-la-CONJ-chi,strong,circumstantial,?,negative,high,müle-la-CONJ-chi,
62,müle-la-CONJ-chi,weak,circumstantial,?,negative,high,müle-la-CONJ-chi,
63,müle-la-CONJ-chi,weak,circumstantial,?,negative,high,müle-la-CONJ-chi,
64,müle-la-CONJ-chi,strong,bouletic,?,negative,high,müle-la-CONJ-chi,
65,müle-la-CONJ may,strong,epistemic,?,negative,low,müle-la-CONJ may,
66,müle-la-CONJ may,weak necessity,epistemic,?,negative,low,müle-la-CONJ may,
67,müle-la-CONJ may,weak,epistemic,1,negative,low,müle-la-CONJ may,
68,müle-la-CONJ may,strong,deontic,?,negative,low,müle-la-CONJ may,
69,müle-la-CONJ may,weak necessity,deontic,?,negative,low,müle-la-CONJ may,
70,müle-la-CONJ may,weak,deontic,?,negative,low,müle-la-CONJ may,
71,müle-la-CONJ may,weak,deontic,?,negative,low,müle-la-CONJ may,
72,müle-la-CONJ may,strong,teleological,?,negative,low,müle-la-CONJ may,
73,müle-la-CONJ may,weak necessity,teleological,?,negative,low,müle-la-CONJ may,
74,müle-la-CONJ may,weak,teleological,?,negative,low,müle-la-CONJ may,
75,müle-la-CONJ may,weak,teleological,?,negative,low,müle-la-CONJ may,
76,müle-la-CONJ may,strong,circumstantial,?,negative,low,müle-la-CONJ may,
77,müle-la-CONJ may,weak,circumstantial,?,negative,low,müle-la-CONJ may,
78,müle-la-CONJ may,strong,bouletic,?,negative,low,müle-la-CONJ may,
79,müley [...] V-al,strong,epistemic,?,positive,no,müley [...] V*-al,* is a kleene star; V* is a verb with any number of infixes
80,müley [...] V-al,weak necessity,epistemic,?,positive,no,müley [...] V*-al,
81,müley [...] V-al,weak,epistemic,?,positive,no,müley [...] V*-al,
82,müley [...] V-al,strong,deontic,1,positive,no,müley [...] V*-al,
83,müley [...] V-al,weak necessity,deontic,?,positive,no,müley [...] V*-al,
84,müley [...] V-al,weak,deontic,?,positive,no,müley [...] V*-al,
85,müley [...] V-al,weak,deontic,?,positive,no,müley [...] V*-al,
86,müley [...] V-al,strong,teleological,?,positive,no,müley [...] V*-al,
87,müley [...] V-al,weak necessity,teleological,?,positive,no,müley [...] V*-al,
88,müley [...] V-al,weak,teleological,?,positive,no,müley [...] V*-al,
89,müley [...] V-al,weak,teleological,?,positive,no,müley [...] V*-al,
90,müley [...] V-al,weak,circumstantial,?,positive,no,müley [...] V*-al,
91,müley [...] V-al,weak,circumstantial,?,positive,no,müley [...] V*-al,
92,müley [...] V-al,strong,bouletic,?,positive,no,müley [...] V*-al,
93,-a-,strong,epistemic,?,positive,no,V*-(y)a-CONJ,future tense
94,-a-,weak necessity,epistemic,?,positive,no,V*-(y)a-CONJ,
95,-a-,weak,epistemic,?,positive,no,V*-(y)a-CONJ,
96,-a-,strong,deontic,?,positive,no,V*-(y)a-CONJ,
97,-a-,weak necessity,deontic,?,positive,no,V*-(y)a-CONJ,
98,-a-,weak,deontic,?,positive,no,V*-(y)a-CONJ,
99,-a-,weak,deontic,?,positive,no,V*-(y)a-CONJ,
100,-a-,strong,teleological,1,positive,no,V*-(y)a-CONJ,
101,-a-,weak necessity,teleological,?,positive,no,V*-(y)a-CONJ,
