expression,force,flavor,can_express,polarity,syntactically_negated,full_form,notes
dolžen,strong,epistemic,1,positive,no,dolžen,
dolžen,weak necessity,epistemic,1,positive,no,dolžen,
dolžen,weak,epistemic,0,positive,no,dolžen,
dolžen,strong,deontic,1,positive,no,dolžen,
dolžen,weak necessity,deontic,?,positive,no,dolžen,
dolžen,weak,deontic,?,positive,no,dolžen,
dolžen,strong,teleological,1,positive,no,dolžen,
dolžen,weak necessity,teleological,?,positive,no,dolžen,
dolžen,weak,teleological,?,positive,no,dolžen,
dolžen,strong,circumstantial,1,positive,no,dolžen,
dolžen,weak,circumstantial,?,positive,no,dolžen,
dolžen,strong,bouletic,1,positive,no,dolžen,
dolžno,strong,epistemic,1,positive,no,dolžno,
dolžno,weak necessity,epistemic,1,positive,no,dolžno,
dolžno,weak,epistemic,?,positive,no,dolžno,
dolžno,strong,deontic,?,positive,no,dolžno,
dolžno,weak necessity,deontic,?,positive,no,dolžno,
dolžno,weak,deontic,?,positive,no,dolžno,
dolžno,strong,teleological,?,positive,no,dolžno,
dolžno,weak necessity,teleological,?,positive,no,dolžno,
dolžno,weak,teleological,?,positive,no,dolžno,
dolžno,strong,circumstantial,?,positive,no,dolžno,
dolžno,weak,circumstantial,?,positive,no,dolžno,
dolžno,strong,bouletic,?,positive,no,dolžno,
nužno,strong,epistemic,?,positive,no,nužno,
nužno,weak necessity,epistemic,?,positive,no,nužno,
nužno,weak,epistemic,?,positive,no,nužno,
nužno,strong,deontic,?,positive,no,nužno,
nužno,weak necessity,deontic,?,positive,no,nužno,
nužno,weak,deontic,?,positive,no,nužno,
nužno,strong,teleological,1,positive,no,nužno,
nužno,weak necessity,teleological,?,positive,no,nužno,
nužno,weak,teleological,?,positive,no,nužno,
nužno,strong,circumstantial,1,positive,no,nužno,
nužno,weak,circumstantial,?,positive,no,nužno,
nužno,strong,bouletic,?,positive,no,nužno,
nado,strong,epistemic,?,positive,no,nado,
nado,weak necessity,epistemic,?,positive,no,nado,
nado,weak,epistemic,?,positive,no,nado,
nado,strong,deontic,?,positive,no,nado,
nado,weak necessity,deontic,?,positive,no,nado,
nado,weak,deontic,?,positive,no,nado,
nado,strong,teleological,1,positive,no,nado,
nado,weak necessity,teleological,?,positive,no,nado,
nado,weak,teleological,?,positive,no,nado,
nado,strong,circumstantial,1,positive,no,nado,
nado,weak,circumstantial,?,positive,no,nado,
nado,strong,bouletic,1,positive,no,nado,
sleduet,strong,epistemic,?,positive,no,sleduet,
sleduet,weak necessity,epistemic,?,positive,no,sleduet,
sleduet,weak,epistemic,?,positive,no,sleduet,
sleduet,strong,deontic,?,positive,no,sleduet,
sleduet,weak necessity,deontic,1,positive,no,sleduet,
sleduet,weak,deontic,?,positive,no,sleduet,
sleduet,strong,teleological,?,positive,no,sleduet,
sleduet,weak necessity,teleological,1,positive,no,sleduet,
sleduet,weak,teleological,?,positive,no,sleduet,
sleduet,strong,circumstantial,?,positive,no,sleduet,
sleduet,weak,circumstantial,?,positive,no,sleduet,
sleduet,strong,bouletic,?,positive,no,sleduet,
možet,strong,epistemic,?,positive,no,možet,
možet,weak necessity,epistemic,?,positive,no,možet,
možet,weak,epistemic,1,positive,no,možet,
možet,strong,deontic,?,positive,no,možet,
možet,weak necessity,deontic,?,positive,no,možet,
možet,weak,deontic,1,positive,no,možet,
možet,strong,teleological,?,positive,no,možet,
možet,weak necessity,teleological,?,positive,no,možet,
možet,weak,teleological,1,positive,no,možet,
možet,strong,circumstantial,?,positive,no,možet,
možet,weak,circumstantial,1,positive,no,možet,
možet,strong,bouletic,?,positive,no,možet,
možno,strong,epistemic,?,positive,no,možno,
možno,weak necessity,epistemic,?,positive,no,možno,
možno,weak,epistemic,?,positive,no,možno,
možno,strong,deontic,?,positive,no,možno,
možno,weak necessity,deontic,?,positive,no,možno,
možno,weak,deontic,1,positive,no,možno,
možno,strong,teleological,?,positive,no,možno,
možno,weak necessity,teleological,?,positive,no,možno,
možno,weak,teleological,?,positive,no,možno,
možno,strong,circumstantial,?,positive,no,možno,
možno,weak,circumstantial,?,positive,no,možno,
možno,strong,bouletic,?,positive,no,možno,
vozmožno,strong,epistemic,?,positive,no,vozmožno,
vozmožno,weak necessity,epistemic,?,positive,no,vozmožno,
vozmožno,weak,epistemic,1,positive,no,vozmožno,
vozmožno,strong,deontic,?,positive,no,vozmožno,
vozmožno,weak necessity,deontic,?,positive,no,vozmožno,
vozmožno,weak,deontic,?,positive,no,vozmožno,
