expression,force,flavor,can_express,polarity,syntactically_negated,full_form,notes
malamang,strong,epistemic,1,positive,no,malamang + V,
malamang,weak,epistemic,1,negative,below,malamang + [NEG...],
malamang,weak necessity,epistemic,1,positive,no,malamang + V,
malamang,weak,epistemic,?,,,,
malamang,strong,deontic,?,,,,
malamang,weak necessity,deontic,?,,,,
malamang,weak,deontic,?,,,,
malamang,strong,teleological,?,,,,
malamang,weak necessity,teleological,?,,,,
malamang,weak,teleological,?,,,,
malamang,strong,circumstantial,?,,,,
malamang,weak,circumstantial,?,,,,
malamang,strong,bouletic,?,,,,
kailangan,strong,epistemic,?,,,,
kailangan,weak necessity,epistemic,1,positive,no,kailangan + V,
kailangan,weak,epistemic,?,,,,
kailangan,strong,deontic,0,positive,no,kailangan + V,
kailangan,strong,deontic,1,negative,above,NEG kailangan + V,
kailangan,weak necessity,deontic,1,positive,no,kailangan + V,
kailangan,weak,deontic,?,,,,
kailangan,strong,teleological,0,,,,
kailangan,weak necessity,teleological,1,positive,no,kailangan + V,
kailangan,weak,teleological,?,,,,
kailangan,strong,circumstantial,?,,,,
kailangan,weak,circumstantial,?,,,,
kailangan,strong,bouletic,1,positive,no,kailangan + V,
pwede,strong,epistemic,?,,,,
pwede,weak necessity,epistemic,?,,,,
pwede,weak,epistemic,1,positive,no,,
pwede,strong,deontic,?,,,,
pwede,weak necessity,deontic,?,,,,
pwede,weak,deontic,1,positive,no,pwede + [...],
pwede,strong,teleological,1,negative,below,pwede + [NEG...],
pwede,weak necessity,teleological,?,,,,
pwede,weak,teleological,1,positive,no,pwede + [...],
pwede,weak,teleological,1,negative,above,NEG pwede + [...],
pwede,strong,circumstantial,1,negative,below,pwede + [NEG...],
pwede,weak,circumstantial,1,positive,no,pwede + [...],strictly nonagentive when used for Circ. Poss.
pwede,strong,bouletic,?,,,,
siguro,strong,epistemic,?,,,,
siguro,strong,epistemic,1,negative,below,siguro + [NEG...],
siguro,weak necessity,epistemic,?,,,,
siguro,weak,epistemic,1,positive,no,siguro + [...],
siguro,strong,deontic,?,,,,
siguro,weak necessity,deontic,?,,,,
siguro,weak,deontic,?,,,,
siguro,strong,teleological,?,,,,
siguro,weak necessity,teleological,?,,,,
siguro,weak,teleological,?,,,,
siguro,strong,circumstantial,?,,,,
siguro,weak,circumstantial,?,,,,
siguro,strong,bouletic,?,,,,
dapat,strong,epistemic,?,,,,
dapat,weak necessity,epistemic,?,,,,
dapat,weak,epistemic,?,,,,
dapat,strong,deontic,1,positive,no,dapat + V,
dapat,strong,deontic,1,negative,above,NEG dapat + V,
dapat,weak necessity,deontic,?,,,,
dapat,weak,deontic,?,,,,
dapat,strong,teleological,?,,,,
dapat,weak necessity,teleological,?,,,,
dapat,weak,teleological,?,,,,
dapat,strong,circumstantial,?,,,,
dapat,weak,circumstantial,?,,,,
dapat,strong,bouletic,?,,,,
kaya,strong,epistemic,?,,,,
kaya,weak necessity,epistemic,?,,,,
kaya,weak,epistemic,?,,,,
kaya,strong,deontic,?,,,,
kaya,weak necessity,deontic,?,,,,
kaya,weak,deontic,?,,,,
kaya,strong,teleological,?,,,,
kaya,weak necessity,teleological,?,,,,
kaya,weak,teleological,?,,,,
kaya,strong,circumstantial,?,,,,
kaya,weak,circumstantial,1,positive,no,kaya + V,"strictly agentive, also participant-external"
kaya,weak,circumstantial,1,negative,above,NEG kaya + V,
kaya,strong,bouletic,?,,,,
maka-,strong,epistemic,?,,,,
maka-,weak necessity,epistemic,?,,,,
maka-,weak,epistemic,?,,,,
maka-,strong,deontic,?,,,,
maka-,weak necessity,deontic,?,,,,
maka-,weak,deontic,?,,,,
maka-,strong,teleological,?,,,,
maka-,weak necessity,teleological,?,,,,
maka-,weak,teleological,?,,,,
maka-,strong,circumstantial,?,,,,
maka-,strong,circumstantial,?,,,,
maka-,weak,circumstantial,1,positive,no,maka-ka-V,participant-internal agent ability prefix. (ka) is phonological reduplication
maka-,weak,circumstantial,1,negative,above,NEG maka-ka-V,
maka-,strong,bouletic,?,,,,
