expression,force,flavor,can_express,polarity,syntactically_negated,full_form,notes
tappakuNdaa,strong,epistemic,1,positive,no,,Adverbial element
tappakuNdaa,weak necessity,epistemic,1,positive,no,,Adverbial element
tappakuNdaa,weak,epistemic,?,positive,no,,Adverbial element
tappakuNdaa,strong,deontic,?,positive,no,,Adverbial element
tappakuNdaa,weak necessity,deontic,?,positive,no,,Adverbial element
tappakuNdaa,weak,deontic,?,positive,no,,Adverbial element
tappakuNdaa,strong,teleological,0,positive,no,,Adverbial element
tappakuNdaa,weak necessity,teleological,?,positive,no,,Adverbial element
tappakuNdaa,weak,teleological,?,positive,no,,Adverbial element
tappakuNdaa,strong ,circumstantial,?,positive,no,,Adverbial element
tappakuNdaa,weak,circumstantial,?,positive,no,,Adverbial element
tappakuNdaa,strong,bouletic,?,positive,no,,Adverbial element
V-ccu,strong,epistemic,?,positive,no,,verbal suffix
V-ccu,weak necessity,epistemic,?,positive,no,,verbal suffix
V-ccu,weak,epistemic,1,positive,no,,verbal suffix
V-ccu,strong,deontic,?,positive,no,,verbal suffix
V-ccu,weak necessity,deontic,?,positive,no,,verbal suffix
V-ccu,weak,deontic,1,positive,no,,verbal suffix
V-ccu,strong,teleological,?,positive,no,,verbal suffix
V-ccu,weak necessity,teleological,?,positive,no,,verbal suffix
V-ccu,weak,teleological,1,positive,no,,verbal suffix
V-ccu,strong ,circumstantial,?,positive,no,,verbal suffix
V-ccu,weak,circumstantial,1,positive,no,,verbal suffix
V-ccu,strong,bouletic,?,positive,no,,verbal suffix
v-anakuntaa,strong,epistemic,?,positive,no,,verbal suffix
v-anakuntaa,weak necessity,epistemic,?,positive,no,,verbal suffix
v-anakuntaa,weak,epistemic,1,positive,no,,verbal suffix
v-anakuntaa,strong,deontic,?,positive,no,,verbal suffix
v-anakuntaa,weak necessity,deontic,?,positive,no,,verbal suffix
v-anakuntaa,weak,deontic,?,positive,no,,verbal suffix
v-anakuntaa,strong,teleological,?,positive,no,,verbal suffix
v-anakuntaa,weak necessity,teleological,?,positive,no,,verbal suffix
v-anakuntaa,weak,teleological,?,positive,no,,verbal suffix
v-anakuntaa,strong ,circumstantial,?,positive,no,,verbal suffix
v-anakuntaa,weak,circumstantial,?,positive,no,,verbal suffix
v-anakuntaa,strong,bouletic,?,positive,no,,verbal suffix
v-aali,strong,epistemic,?,positive,no,,verbal suffix
v-aali,weak necessity,epistemic,?,positive,no,,verbal suffix
v-aali,weak,epistemic,0,positive,no,,verbal suffix
v-aali,strong,deontic,1,positive,no,,verbal suffix
v-aali,weak necessity,deontic,1,positive,no,,verbal suffix
v-aali,weak,deontic,0,positive,no,,verbal suffix
v-aali,strong,teleological,1,positive,no,,verbal suffix
v-aali,weak necessity,teleological,1,positive,no,,verbal suffix
v-aali,weak,teleological,0,positive,no,,verbal suffix
v-aali,strong ,circumstantial,1,positive,no,,verbal suffix
v-aali,weak,circumstantial,0,positive,no,,verbal suffix
v-aali,strong,bouletic,1,positive,no,,verbal suffix
v-gala,strong,epistemic,?,positive,no,,verbal suffix
v-gala,weak necessity,epistemic,?,positive,no,,verbal suffix
v-gala,weak,epistemic,?,positive,no,,verbal suffix
v-gala,strong,deontic,?,positive,no,,verbal suffix
v-gala,weak necessity,deontic,?,positive,no,,verbal suffix
v-gala,weak,deontic,?,positive,no,,verbal suffix
v-gala,strong,teleological,?,positive,no,,verbal suffix
v-gala,weak necessity,teleological,?,positive,no,,verbal suffix
v-gala,weak,teleological,?,positive,no,,verbal suffix
v-gala,strong ,circumstantial,?,positive,no,,verbal suffix
v-gala,weak,circumstantial,1,positive,no,,verbal suffix
v-gala,strong,bouletic,?,positive,no,,verbal suffix
V-ccu,strong,epistemic,1,negative,yes,V-NEG-ccu,
V-ccu,weak necessity,epistemic,?,negative,yes,V-NEG-ccu,
V-ccu,weak,epistemic,?,negative,yes,V-NEG-ccu,
V-ccu,strong,deontic,?,negative,yes,V-NEG-ccu,
V-ccu,weak necessity,deontic,?,negative,yes,V-NEG-ccu,
V-ccu,weak,deontic,?,negative,yes,V-NEG-ccu,
V-ccu,strong,teleological,?,negative,yes,V-NEG-ccu,
V-ccu,weak necessity,teleological,?,negative,yes,V-NEG-ccu,
V-ccu,weak,teleological,?,negative,yes,V-NEG-ccu,
V-ccu,strong ,circumstantial,?,negative,yes,V-NEG-ccu,
