expression,force,flavor,can_express,lexical,polarity,syntactically_negated,full_form,notes
Dong (ca),strong,epistemic,1,,positive,no,Dong (ca),"ca is a tense marker that entails hypothetical or future situations, it will combine with modals optionally"
Dong (ca),weak necessity,epistemic,?,,positive,no,Dong (ca),
Dong (ca),weak,epistemic,?,,positive,no,Dong (ca),
Dong (ca),strong,deontic,1,,positive,no,Dong (ca),less strong than Jambpen dong
Dong (ca),weak necessity,deontic,?,,positive,no,Dong (ca),
Dong (ca),weak,deontic,?,,positive,no,Dong (ca),
Dong (ca),strong,teleological,1,,positive,no,Dong (ca),
Dong (ca),weak necessity,teleological,?,,positive,no,Dong (ca),
Dong (ca),weak,teleological,?,,positive,no,Dong (ca),
Dong (ca),strong,circumstantial,1,,positive,no,Dong (ca),"CA potentially just expressing future reading ""I will go wee"""
Dong (ca),weak,circumstantial,?,,positive,no,Dong (ca),
Dong (ca),strong,bouletic,1,,positive,no,Dong,ca does not show up in this context 
Jambpen dong (ca),strong,epistemic,1,,positive,no,Jambpen dong (ca),I didn't include this as a non-lexical item because jambpen dong always cooccur in positive context
Jambpen dong (ca),weak necessity,epistemic,?,,positive,no,Jambpen dong (ca),
Jambpen dong (ca),weak,epistemic,?,,positive,no,Jambpen dong (ca),
Jambpen dong (ca),strong,deontic,1,,positive,no,Jambpen dong (ca),
Jambpen dong (ca),weak necessity,deontic,?,,positive,no,Jambpen dong (ca),
Jambpen dong (ca),weak,deontic,?,,positive,no,Jambpen dong (ca),
Jambpen dong (ca),strong,teleological,?,,positive,no,Jambpen dong,"CA does not show up in the context, and 'jambpen dong' has a strong emphasis. Consultant comments that ""If you had a gun to your head"" "
Jambpen dong (ca),weak necessity,teleological,1,,positive,no,Jambpen dong (ca),
Jambpen dong (ca),weak,teleological,?,,positive,no,Jambpen dong (ca),
Jambpen dong (ca),strong,circumstantial,1,,positive,no,Jambpen dong (ca),"CA possibly used as a future prediction marker, or discourse marker "
Jambpen dong (ca),weak,circumstantial,?,,positive,no,Jambpen dong (ca),
Jambpen dong (ca),strong,bouletic,?,,positive,no,Jambpen dong (ca),
Naa (ca),strong,epistemic,?,,positive,no,Naa (ca),
Naa (ca),weak necessity,epistemic,1,,positive,no,Naa ca,consultant noted that without 'ca' will force the modal 'kuan' to form adjective with the verb
Naa (ca),weak,epistemic,?,,positive,no,Naa (ca),
Naa (ca),strong,deontic,?,,positive,no,Naa (ca),
Naa (ca),weak necessity,deontic,1,,positive,no,Naa (ca),
Naa (ca),weak,deontic,?,,positive,no,Naa (ca),
Naa (ca),strong,teleological,?,,positive,no,Naa (ca),
Naa (ca),weak necessity,teleological,?,,positive,no,Naa (ca),
Naa (ca),weak,teleological,?,,positive,no,Naa (ca),
Naa (ca),strong,circumstantial,?,,positive,no,Naa (ca),
Naa (ca),weak,circumstantial,?,,positive,no,Naa (ca),
Naa (ca),strong,bouletic,?,,positive,no,Naa (ca),
Sonkuan,strong,epistemic,?,,positive,no,Sonkuan,
Sonkuan,weak necessity,epistemic,?,,positive,no,Sonkuan,
Sonkuan,weak,epistemic,?,,positive,no,Sonkuan,
Sonkuan,strong,deontic,?,,positive,no,Sonkuan,
Sonkuan,weak necessity,deontic,1,,positive,no,Sonkuan,
Sonkuan,weak,deontic,?,,positive,no,Sonkuan,
Sonkuan,strong,teleological,?,,positive,no,Sonkuan,
Sonkuan,weak necessity,teleological,1,,positive,no,Sonkuan,
Sonkuan,weak,teleological,?,,positive,no,Sonkuan,
Sonkuan,strong,circumstantial,?,,positive,no,Sonkuan,
Sonkuan,weak,circumstantial,?,,positive,no,Sonkuan,
Sonkuan,strong,bouletic,?,,positive,no,Sonkuan,
Kuan (ca),strong,epistemic,?,,positive,no,Kuan (ca),
Kuan (ca),weak necessity,epistemic,1,,positive,no,Kuan,consultant noted that without 'ca' will force the modal 'kuan' to form adjective with the verb
Kuan (ca),weak,epistemic,?,,positive,no,Kuan (ca),
Kuan (ca),strong,deontic,?,,positive,no,Kuan (ca),
Kuan (ca),weak necessity,deontic,1,,positive,no,Kuan (ca),
Kuan (ca),weak,deontic,?,,positive,no,Kuan (ca),
Kuan (ca),strong,teleological,?,,positive,no,Kuan (ca),
Kuan (ca),weak necessity,teleological,1,,positive,no,Kuan (ca),ca can make it more casual
Kuan (ca),weak,teleological,?,,positive,no,Kuan (ca),
Kuan (ca),strong,circumstantial,?,,positive,no,Kuan (ca),
Kuan (ca),weak,circumstantial,?,,positive,no,Kuan (ca),
Kuan (ca),strong,bouletic,?,,positive,no,Kuan (ca),
Aat (ca),strong,epistemic,?,,positive,no,Aat (ca),"ca is optional according to Symth(2005) , so I did not include this as non-lexical item, but it should be noted that some contexts does not allow 'aat' to appear alone"
Aat (ca),weak necessity,epistemic,?,,positive,no,Aat (ca),
Aat (ca),weak,epistemic,1,,positive,no,Aat ca,"ca is required for this context, aat cannot be used alone"
Aat (ca),strong,deontic,?,,positive,no,Aat (ca),
Aat (ca),weak necessity,deontic,?,,positive,no,Aat (ca),
Aat (ca),weak,deontic,0,,positive,no,Aat (ca),
Aat (ca),strong,teleological,?,,positive,no,Aat (ca),
Aat (ca),weak necessity,teleological,?,,positive,no,Aat (ca),
Aat (ca),weak,teleological,?,,positive,no,Aat (ca),
Aat (ca),strong,circumstantial,?,,positive,no,Aat (ca),
Aat (ca),weak,circumstantial,?,,positive,no,Aat (ca),
Aat (ca),strong,bouletic,?,,positive,no,Aat (ca),
Anuyard,strong,epistemic,?,,positive,no,Anuyard,
Anuyard,weak necessity,epistemic,?,,positive,no,Anuyard,
Anuyard,weak,epistemic,?,,positive,no,Anuyard,
Anuyard,strong,deontic,?,,positive,no,Anuyard,
Anuyard,weak necessity,deontic,?,,positive,no,Anuyard,
Anuyard,weak,deontic,1,,positive,no,Anuyard,
Anuyard,strong,teleological,?,,positive,no,Anuyard,
Anuyard,weak necessity,teleological,?,,positive,no,Anuyard,
Anuyard,weak,teleological,0,,positive,no,Anuyard,
Anuyard,strong,circumstantial,?,,positive,no,Anuyard,
Anuyard,weak,circumstantial,?,,positive,no,Anuyard,
Anuyard,strong,bouletic,?,,positive,no,Anuyard,
... dai,strong,epistemic,?,,positive,no,... dai,sentence final particle
... dai,weak necessity,epistemic,?,,positive,no,... dai,sentence final particle
... dai,weak,epistemic,?,,positive,no,... dai,sentence final particle
... dai,strong,deontic,?,,positive,no,... dai,sentence final particle
... dai,weak necessity,deontic,?,,positive,no,... dai,sentence final particle
... dai,weak,deontic,1,,positive,no,... dai,sentence final particle
... dai,strong,teleological,?,,positive,no,... dai,sentence final particle
... dai,weak necessity,teleological,?,,positive,no,... dai,sentence final particle
... dai,weak,teleological,1,,positive,no,... dai,sentence final particle
... dai,strong,circumstantial,?,,positive,no,... dai,sentence final particle
... dai,weak,circumstantial,1,,positive,no,... dai,sentence final particle
... dai,strong,bouletic,?,,positive,no,... dai,sentence final particle
saamaat,strong,epistemic,?,,positive,no,saamaat,
saamaat,weak necessity,epistemic,?,,positive,no,saamaat,
saamaat,weak,epistemic,?,,positive,no,saamaat,
saamaat,strong,deontic,?,,positive,no,saamaat,
saamaat,weak necessity,deontic,?,,positive,no,saamaat,
saamaat,weak,deontic,?,,positive,no,saamaat,
saamaat,strong,teleological,?,,positive,no,saamaat,
saamaat,weak necessity,teleological,?,,positive,no,saamaat,
