expression,force,flavor,can_express,polarity,syntactically_negated,full_form,notes
gwál,weak,epistemic,1,positive,no,gwál,
gwál,strong,epistemic,0,positive,no,gwál,
gwál,weak,circumstantial,0,positive,no,gwál,
gwál,strong,circumstantial,?,positive,no,gwál,
gwál,weak,deontic,0,positive,no,gwál,
gwál,strong,deontic,?,positive,no,gwál,
gwál,weak,epistemic,0,negative,high,tlél gwál,"The correct way would be remove the dubiative, which suggests that Tlingit language does not allow direct expression of epistemic impossiblity (633)"
gwál,strong,epistemic,?,negative,,,
gwál,weak,circumstantial,?,negative,,,
gwál,strong,circumstantial,?,negative,,,
gwál,weak,deontic,?,negative,,,
gwál,strong,deontic,?,negative,,,
giwe,weak,epistemic,1,positive,no,giwe,
giwe,strong,epistemic,0,positive,no,giwe,
giwe,weak,circumstantial,0,positive,no,giwe,
giwe,strong,circumstantial,?,positive,no,giwe,
giwe,weak,deontic,0,positive,no,giwe,
giwe,strong,deontic,?,positive,no,giwe,
shákdé,weak,epistemic,1,positive,no,shákdé,
shákdé,strong,epistemic,0,positive,no,shákdé,
shákdé,weak,circumstantial,0,positive,no,shákdé,
shákdé,strong,circumstantial,?,positive,no,shákdé,
shákdé,weak,deontic,0,positive,no,shákdé,
shákdé,strong,deontic,?,positive,no,shákdé,
future mode,weak,epistemic,?,positive,no,future mode,
future mode,strong,epistemic,0,positive,no,future mode,
future mode,weak,circumstantial,0,positive,no,future mode,
future mode,strong,circumstantial,1,positive,no,future mode,
future mode,weak,deontic,?,positive,no,future mode,
future mode,strong,deontic,0,positive,no,future mode,
future mode,weak,epistemic,?,negative,,,
future mode,strong,epistemic,?,negative,,,
future mode,weak,circumstantial,?,negative,,,
future mode,strong,circumstantial,0,negative,low,tlél + future,"the expression is actually negating the predicate, but the author argues logically it is equivalent to weak circumstantial, negation scopes below force"
future mode,weak,deontic,?,negative,,,
future mode,strong,deontic,?,negative,,,
potential mode,weak,epistemic,0,positive,no,potential mode,
potential mode,strong,epistemic,?,positive,no,potential mode,
potential mode,weak,circumstantial,1,positive,no,potential mode,
potential mode,strong,circumstantial,0,positive,no,potential mode,
potential mode,weak,deontic,0,positive,no,potential mode,
potential mode,strong,deontic,?,positive,no,potential mode,
potential mode,weak,epistemic,0,negative,low,tlél + potential,"the expression here is negating the predicate, force >> negation"
potential mode,strong,epistemic,?,negative,,,
potential mode,weak,circumstantial,?,negative,,,
potential mode,strong,circumstantial,?,negative,,,
potential mode,weak,deontic,?,negative,,,
potential mode,strong,deontic,?,negative,,,
prohibitive mode,weak,epistemic,?,negative,yes,prohibitive mode,
prohibitive mode,strong,epistemic,?,negative,yes,prohibitive mode,
prohibitive mode,weak,circumstantial,?,negative,yes,prohibitive mode,
prohibitive mode,strong,circumstantial,?,negative,yes,prohibitive mode,
prohibitive mode,weak,deontic,1,negative,yes,prohibitive mode,
prohibitive mode,strong,deontic,?,negative,yes,prohibitive mode,
tlél aadé  .... yé,weak,epistemic,?,negative,yes,tlél aadé  .... yé,
tlél aadé  .... yé,strong,epistemic,?,negative,yes,tlél aadé  .... yé,
tlél aadé  .... yé,weak,circumstantial,1,negative,yes,tlél aadé  .... yé,
tlél aadé  .... yé,strong,circumstantial,?,negative,yes,tlél aadé  .... yé,
tlél aadé  .... yé,weak,deontic,0,negative,yes,tlél aadé  .... yé,"the author argues this construction is not acutally expressing deontic, this is purely circumstantial flavor, even though the expression appears in deontic impossiblity (658)"
tlél aadé  .... yé,strong,deontic,?,negative,yes,tlél aadé  .... yé,
