,expression,force,flavor,can_express,polarity,syntactically_negated,full_form,notes
0,chắc hẳn,strong,epistemic,1,positive,no,chắc hẳn,
1,chắc hẳn,weak necessity,epistemic,?,positive,no,chắc hẳn,
2,chắc hẳn,weak,epistemic,0,positive,no,chắc hẳn,
3,chắc hẳn,strong,deontic,?,positive,no,chắc hẳn,
4,chắc hẳn,weak necessity,deontic,?,positive,no,chắc hẳn,
5,chắc hẳn,weak,deontic,?,positive,no,chắc hẳn,
6,chắc hẳn,strong,teleological,?,positive,no,chắc hẳn,
7,chắc hẳn,weak necessity,teleological,?,positive,no,chắc hẳn,
8,chắc hẳn,weak,teleological,?,positive,no,chắc hẳn,
9,chắc hẳn,strong,circumstantial,1,positive,no,chắc hẳn,
10,chắc hẳn,weak,circumstantial,?,positive,no,chắc hẳn,
11,chắc hẳn,strong,bouletic,?,positive,no,chắc hẳn,
12,chắc chắn,strong,epistemic,1,positive,no,chắc chắn,
13,chắc chắn,weak necessity,epistemic,?,positive,no,chắc chắn,
14,chắc chắn,weak,epistemic,?,positive,no,chắc chắn,
15,chắc chắn,strong,deontic,?,positive,no,chắc chắn,
16,chắc chắn,weak necessity,deontic,?,positive,no,chắc chắn,
17,chắc chắn,weak,deontic,?,positive,no,chắc chắn,
18,chắc chắn,strong,teleological,?,positive,no,chắc chắn,
19,chắc chắn,weak necessity,teleological,?,positive,no,chắc chắn,
20,chắc chắn,weak,teleological,?,positive,no,chắc chắn,
21,chắc chắn,strong,circumstantial,?,positive,no,chắc chắn,
22,chắc chắn,weak,circumstantial,?,positive,no,chắc chắn,
23,chắc chắn,strong,bouletic,?,positive,no,chắc chắn,
24,chắc chắn,strong,epistemic,?,negative,high,NEG + chắc chắn,
25,chắc chắn,weak necessity,epistemic,?,negative,high,NEG + chắc chắn,
26,chắc chắn,weak,epistemic,?,negative,high,NEG + chắc chắn,
27,chắc chắn,strong,deontic,?,negative,high,NEG + chắc chắn,
28,chắc chắn,weak necessity,deontic,?,negative,high,NEG + chắc chắn,
29,chắc chắn,weak,deontic,?,negative,high,NEG + chắc chắn,
30,chắc chắn,strong,teleological,?,negative,high,NEG + chắc chắn,
31,chắc chắn,weak necessity,teleological,?,negative,high,NEG + chắc chắn,
32,chắc chắn,weak,teleological,?,negative,high,NEG + chắc chắn,
33,chắc chắn,strong,circumstantial,1,negative,high,NEG + chắc chắn,
34,chắc chắn,weak,circumstantial,?,negative,high,NEG + chắc chắn,
