name,comm_cost,complexity,type,naturalness,optimality
explored-0,0.647530864197531,16,explored,0.5,0.9265363163119728
explored-1,0.42834295334295336,48,explored,0.0,0.8485152941084779
explored-2,0.39301587301587304,76,explored,0.2857142857142857,0.8105300899320415
explored-3,0.3892417161028272,105,explored,0.5,0.7309571883026511
explored-4,0.5141975308641976,15,explored,0.5,0.9352324179971152
explored-5,0.5341820987654322,25,explored,0.6666666666666666,0.8819850381300116
explored-6,0.3199074074074074,60,explored,0.42857142857142855,0.8990691228163145
explored-7,0.4255555555555556,39,explored,0.4,0.8624500248049252
explored-8,0.2540740740740741,53,explored,0.42857142857142855,0.9561601905082416
explored-9,0.3824074074074073,20,explored,0.3333333333333333,0.9351482440196802
explored-10,0.30546296296296305,43,explored,0.5,0.9393208459561265
explored-11,0.2550000000000001,61,explored,0.42857142857142855,0.9353231316655373
explored-12,0.4037037037037037,31,explored,0.25,0.8945532714632617
explored-13,0.3174074074074076,43,explored,0.6666666666666666,0.9312260205884618
explored-14,0.3930555555555555,48,explored,0.4,0.8722795199140101
explored-15,0.3871765271765273,97,explored,0.6,0.7547644491240711
explored-16,0.3873035914702583,31,explored,0.25,0.9055513088648597
explored-17,0.4467592592592593,58,explored,0.0,0.8174421278804125
explored-18,0.2562037037037037,58,explored,0.2857142857142857,0.9430688517958261
explored-19,0.399539468761691,64,explored,1.0,0.8392502497274693
explored-20,0.2949074074074074,65,explored,0.2857142857142857,0.9001908094700412
explored-21,0.5717592592592593,22,explored,0.75,0.8968407414498614
explored-22,0.24703703703703717,55,explored,0.42857142857142855,0.9569435894464613
explored-23,0.3875420875420875,32,explored,0.4,0.9034992246416658
explored-24,0.5022222222222223,28,explored,0.6666666666666666,0.8669851177370813
explored-25,0.34238215488215495,56,explored,0.2,0.8917416876841482
explored-26,0.4109147025813693,59,explored,0.0,0.8408470060440385
explored-27,0.3347402597402598,55,explored,0.42857142857142855,0.8982125403227376
explored-28,0.37470238095238106,47,explored,0.6,0.8862706372764596
explored-29,0.3652674897119341,10,explored,1.0,0.9848871308046317
explored-30,0.33333333333333326,46,explored,0.3333333333333333,0.9155234890984538
explored-31,0.3160185185185185,59,explored,0.2857142857142857,0.9039133698532649
explored-32,0.28968253968253976,82,explored,0.75,0.8553446458995854
explored-33,0.4788888888888888,29,explored,0.5,0.8623106526404429
explored-34,0.6444444444444445,15,explored,1.0,0.9318889843441411
explored-35,0.22259259259259268,59,explored,0.3333333333333333,0.9603307727160417
explored-36,0.3291666666666666,33,explored,0.2,0.9361784350679145
explored-37,0.4025632744680364,84,explored,0.75,0.7822519826145107
explored-38,0.41428571428571437,32,explored,0.5,0.8857979470418551
explored-39,0.5302890011223345,35,explored,0.75,0.8293505945287531
explored-40,0.4022927689594358,15,explored,0.5,0.9486035937202099
explored-41,0.39135802469135816,18,explored,0.6666666666666666,0.9393389130242024
explored-42,0.43518518518518534,14,explored,0.5,0.9440377233165314
explored-43,0.5674382716049384,12,explored,0.5,0.9496860297866119
explored-44,0.39111111111111097,42,explored,0.5,0.8827669273723331
explored-45,0.3522222222222222,36,explored,0.5,0.9146106651824757
explored-46,0.33712962962962967,60,explored,0.42857142857142855,0.8881674172453484
explored-47,0.29954732510288073,53,explored,0.42857142857142855,0.9245955179618037
explored-48,0.6777777777777778,9,explored,1.0,0.9625971937685794
explored-49,0.5138888888888888,37,explored,0.75,0.819224698075037
explored-50,0.4436111111111112,47,explored,0.3333333333333333,0.8396740235109159
explored-51,0.39488536155202825,18,explored,0.6666666666666666,0.9380082865781929
explored-52,0.3866666666666667,86,explored,0.14285714285714285,0.7861073530518425
explored-53,0.63,14,explored,0.5,0.9375331939356206
explored-54,0.27703703703703697,28,explored,0.5,0.9808688367459583
explored-55,0.9,14,explored,0.0,0.9293118740323218
explored-56,0.5188271604938273,16,explored,0.5,0.9298401193587834
explored-57,0.4175084175084176,59,explored,0.5714285714285714,0.8363456360032123
explored-58,0.5667283950617283,19,explored,0.6666666666666666,0.9127901926864437
explored-59,0.43833333333333335,21,explored,0.3333333333333333,0.9082283273148112
explored-60,0.456574074074074,16,explored,0.5,0.9318261868545344
explored-61,0.28919753086419764,89,explored,0.375,0.8358828424840175
explored-62,0.3300925925925926,85,explored,0.375,0.8227335633743168
explored-63,0.38601190476190483,69,explored,0.8333333333333334,0.8344667465650701
explored-64,0.298641975308642,39,explored,0.6666666666666666,0.94996742034876
explored-65,0.34144620811287485,61,explored,0.2857142857142857,0.8831164801821179
explored-66,0.43740740740740747,54,explored,0.6666666666666666,0.8310693332980281
explored-67,0.5511111111111111,35,explored,0.25,0.8288160919015854
explored-68,0.27306397306397323,60,explored,0.42857142857142855,0.9273511410180291
explored-69,0.6666666666666666,23,explored,0.5,0.889131034308607
explored-70,0.3149603174603174,52,explored,0.3333333333333333,0.9143650035435221
explored-71,0.30288359788359775,32,explored,0.25,0.9538587677041198
explored-72,0.5126543209876544,45,explored,0.25,0.7955823849024104
explored-73,0.6506172839506174,16,explored,0.5,0.92645706491187
explored-74,0.26856481481481487,87,explored,0.5,0.8538547269275139
explored-75,0.2636684303350971,81,explored,0.3333333333333333,0.8737104029661678
explored-76,0.4338888888888889,32,explored,0.0,0.8726019175198855
explored-77,0.30666666666666664,30,explored,0.4,0.9585591871921624
explored-78,0.43041877104377113,60,explored,0.2,0.8261453480766718
explored-79,0.5555555555555556,18,explored,0.5,0.9183504392554058
explored-80,0.6916666666666667,10,explored,0.0,0.9568925471870386
explored-81,0.3347619047619047,23,explored,0.5,0.9571471806379883
explored-82,0.2828703703703703,71,explored,0.42857142857142855,0.8904532836703292
